wave_tp_s,fitted_wave_amp_m,amp_rel_err,fit_residual_normalized,is_clean
4.0,0.4984615273637728,-0.00307694527245439,0.0016976901446897976,1
5.0,0.4990134371083864,-0.00197312578322717,0.0010835341627919324,1
6.0,0.49931560823994264,-0.0013687835201147136,0.00075334738449601,1
7.0,0.49949329817419036,-0.0010134036516192824,0.0005565908449023221,1
8.0,0.49961451005912016,-0.0007709798817596702,0.00042332604906433893,1
10.0,0.4997534757011525,-0.000493048597694945,0.0002713926523775743,1
12.0,0.4998287480480592,-0.0003425039038815747,0.00018872450181062564,1
14.0,0.4998733172101501,-0.00025336557969979356,0.00013968247879508027,1
16.0,0.4999010600205684,-0.00019787995886322296,0.00010921988157465228,1
18.0,0.4999253433929307,-0.00014931321413858,8.257406724638168e-05,1
20.0,0.49993833292444223,-0.00012333415111553947,6.845874392734127e-05,1
22.0,0.49994999843400084,-0.00010000313199831634,5.557016835422578e-05,1
25.0,0.4999605550101485,-7.88899797029563e-05,4.411461567025451e-05,1
30.0,0.4999726018123434,-5.4796375313248546e-05,3.088074381136807e-05,1
