height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.00903765474983816,0.001987038500959823,0.002602411775149341,0.009474746813431285,0.0018729960903606261,0.0019031911044398548,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.009041326141784245,0.0034865250384988624,0.004515286952947713,0.009473788247378611,0.002815636157932697,0.002892935630348914,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.009045323600550922,0.005397254549766268,0.006834102244531461,0.009471051907156745,0.0037657915235561603,0.00391827358629779,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.009049597952012224,0.007716795609618219,0.009552965648016193,0.009466512525969752,0.004726043007840703,0.0049853107451588614,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.009054116778760333,0.010443101395077441,0.012675271671741633,0.009460242602479569,0.005700970478523639,0.00609912002023532,True,True,48.0
0.04,2.5,2.5132741228718345,0.02,0.24417552900148137,0.031007393712243765,0.03225480660792601,0.256874870761888,0.03259426465077578,0.03271078928075689,True,True,60.0
0.06,2.5,2.5132741228718345,0.03,0.2431925398976219,0.046235769867647034,0.04910599574902203,0.2567702705000447,0.048708624894642324,0.04898566470818513,True,True,60.0
0.08,2.5,2.5132741228718345,0.04,0.24184345433742827,0.06130145693252251,0.06649627303698671,0.25609858193732643,0.06466154967467383,0.06520278395454952,True,True,60.0
0.1,2.5,2.5132741228718345,0.05,0.24015599805074714,0.07610049554325768,0.08425590181412887,0.2549046614523718,0.08038263572033699,0.0813073063769377,True,True,60.0
0.12,2.5,2.5132741228718345,0.06,0.23816460783110016,0.09058357849326609,0.10231277649652559,0.25323288717627546,0.09579994550331938,0.09723364548946536,True,True,60.0
0.04,2.8,2.243994752564138,0.02,0.8662116313639411,0.08780234271095187,0.0899600823126872,0.9245147883655636,0.09336753857507828,0.09370374630609819,True,True,67.2
0.06,2.8,2.243994752564138,0.03,0.7883483511492388,0.1203314125533132,0.12450317883461753,0.8363752535975743,0.12709279445669236,0.12791621185613683,True,True,67.2
0.08,2.8,2.243994752564138,0.04,0.7236287939911027,0.14801958127526604,0.15469477932745548,0.7641780209666134,0.15532243961978995,0.15686104441233464,True,True,67.2
0.1,2.8,2.243994752564138,0.05,0.6707402527706341,0.17262467687963173,0.18235378046165257,0.7059324369373104,0.17990503268487235,0.18241299536413513,True,True,67.2
0.12,2.8,2.243994752564138,0.06,0.6270899480130014,0.19524703149900444,0.2086191414829635,0.6583100177034089,0.2019057783338304,0.20564001731190906,True,True,67.2
0.04,3.0,2.0943951023931953,0.02,1.4432575993534553,0.1295615573440515,0.1298895912789387,1.5163331539561749,0.13459949442291236,0.13523546762720737,True,True,72.0
0.06,3.0,2.0943951023931953,0.03,1.1889950760725092,0.16216299619074814,0.16225805684506694,1.2416045465302834,0.1662345417579586,0.16765105814550274,True,True,72.0
0.08,3.0,2.0943951023931953,0.04,1.033531945336681,0.1911542139489027,0.19292081206342215,1.0757015972480528,0.192943466991559,0.19563949374120201,True,True,72.0
0.1,3.0,2.0943951023931953,0.05,0.9261235130058489,0.2187720269652756,0.22436780564755973,0.961915136658509,0.21655199549442478,0.22111577269395052,True,True,72.0
0.12,3.0,2.0943951023931953,0.06,0.8462964078300034,0.2460870157905846,0.2572160446732059,0.8777404697160605,0.23797971646741556,0.24505782459300565,True,True,72.0
0.04,3.141,2.0003773661826125,0.02,1.640665255415465,0.14065417637857633,0.1487362979777455,1.7093541187875747,0.1392402539432061,0.1394114999794543,True,True,75.4
0.06,3.141,2.0003773661826125,0.03,1.3412644521460122,0.18372346056487338,0.1840034770524467,1.3923253751216564,0.17106061297419856,0.17374993094986466,True,True,75.4
0.08,3.141,2.0003773661826125,0.04,1.1631857983425486,0.22446717212543799,0.2365374126477076,1.2044492634944746,0.19809040805423744,0.20478738565851892,True,True,75.4
0.1,3.141,2.0003773661826125,0.05,1.0415991705381984,0.26319315244295743,0.288091586492618,1.0765412357384014,0.22192898476124445,0.23370063130329033,True,True,75.4
0.12,3.141,2.0003773661826125,0.06,0.951595636420947,0.300028875712079,0.3379037381744985,0.9820637258689001,0.2434079509758308,0.2610645832520597,True,True,75.4
0.04,3.257,1.9291327317100355,0.02,1.6993742704715045,0.1503150131451008,0.18156339395335275,1.747525862874391,0.131351506535025,0.1386177609182697,True,True,78.16
0.06,3.257,1.9291327317100355,0.03,1.4131375944583886,0.19687332171192573,0.24522782739663818,1.4488287990774615,0.1633802813484443,0.1765027543889534,True,True,78.16
0.08,3.257,1.9291327317100355,0.04,1.235352935919136,0.2384624031021717,0.3018568218227142,1.2639787867046537,0.19016618806588687,0.20963300822453126,True,True,78.16
0.1,3.257,1.9291327317100355,0.05,1.1110507469250979,0.27658629893821174,0.3535963250618379,1.1350752489327796,0.2137343026773385,0.2398486057007062,True,True,78.16
0.12,3.257,1.9291327317100355,0.06,1.0176758040168559,0.3120945360570556,0.4017003866655413,1.0384228374433324,0.23510249824442636,0.2680408455554142,True,True,78.16
0.04,3.3,1.9039955476301778,0.02,1.6942641462539045,0.13274486711815842,0.17269777022984545,1.7305450061593386,0.126048929204921,0.13283145379265193,True,True,79.2
0.06,3.3,1.9039955476301778,0.03,1.4229063361198369,0.17983048096392845,0.23312068351336646,1.450404220915201,0.15866136176229623,0.17031453283681056,True,True,79.2
