height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.20300020482062375,0.04021965442462502,0.04102009398507446,0.22489193822877052,0.044705471648528367,0.04479678008332221,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.20293971118294624,0.060296093196923195,0.062105842124335564,0.22502608169642588,0.06688347264372432,0.0671230923601509,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.20276662841355098,0.08035723142244458,0.08354252439858828,0.22511088652243277,0.08907174018669081,0.0896034278911159,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.2025007641415632,0.10033469995297635,0.10529111661590917,0.2251127526815147,0.11123686055720705,0.11218029473945006,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.20215152364913413,0.12022848241544049,0.12734197785768483,0.22501263922981513,0.13334890551418932,0.13481201711596158,True,True,48.0
0.04,2.2,2.855993321445266,0.02,0.4896447421713727,0.0802639136949544,0.08115583908643231,0.5399932126575642,0.08841212940455101,0.08860427839674805,True,True,52.800000000000004
0.06,2.2,2.855993321445266,0.03,0.4853829075330181,0.11924999229765465,0.12124095214747517,0.5379523514200897,0.13179280712072292,0.1322832797344212,True,True,52.800000000000004
0.08,2.2,2.855993321445266,0.04,0.47936499545370914,0.15706598983896053,0.1605372904024207,0.5324925270816063,0.17399468761500303,0.17496361807537802,True,True,52.800000000000004
0.1,2.2,2.855993321445266,0.05,0.47201045297148947,0.19345047321275066,0.19876126444208936,0.5245672784120883,0.2144962682711034,0.2160877503998765,True,True,52.800000000000004
0.12,2.2,2.855993321445266,0.06,0.4637598530624613,0.22829215926829538,0.23577039736570207,0.5150480607802033,0.25309975131392554,0.25549713448322603,True,True,52.800000000000004
0.04,2.3,2.7318196987737333,0.02,0.7678801985023328,0.11508528892887551,0.11605625618132594,0.8629063142394126,0.12920610300370178,0.12949957651052688,True,True,55.2
0.06,2.3,2.7318196987737333,0.03,0.7424086881182803,0.1668405045530529,0.16876501573920233,0.8321201894886565,0.18680466225128936,0.18744749276378847,True,True,55.2
0.08,2.3,2.7318196987737333,0.04,0.7134430040801111,0.21397423158118586,0.21707671323929778,0.7956859018686733,0.2386437437687191,0.239816557631929,True,True,55.2
0.1,2.3,2.7318196987737333,0.05,0.6843264067347933,0.2569127184863946,0.2613736114805638,0.7591645743278788,0.2853535034226866,0.28724870452075607,True,True,55.2
0.12,2.3,2.7318196987737333,0.06,0.6565901157571516,0.29626392925745626,0.3022363847474796,0.7248508520073522,0.32781565368140353,0.33059886554774587,True,True,55.2
0.04,2.4,2.6179938779914944,0.02,1.1923234664782654,0.1638923027099425,0.1645677183444743,1.3526303016829018,0.18605212600153467,0.18638207883635363,True,True,57.6
0.06,2.4,2.6179938779914944,0.03,1.0810459228118492,0.22327776072584896,0.2243839995779724,1.2050967118639406,0.24947808254931259,0.25020140017182674,True,True,57.6
0.08,2.4,2.6179938779914944,0.04,0.9902732137241552,0.2732796110732578,0.27474045754431276,1.0914475498614469,0.3023696107655012,0.3036071482339229,True,True,57.6
0.1,2.4,2.6179938779914944,0.05,0.9169243174185302,0.31701519619660323,0.31880163536115647,1.0027245931600721,0.34851480434559945,0.35046633609698047,True,True,57.6
0.12,2.4,2.6179938779914944,0.06,0.8568126162900236,0.3563445387239046,0.3584596574622121,0.931625028948706,0.3899462778806097,0.39273849078920076,True,True,57.6
0.04,2.5,2.5132741228718345,0.02,1.6676520759440865,0.2115167052136513,0.211666620080469,1.848731183115633,0.23527971293329403,0.23552956630934038,True,True,60.0
0.06,2.5,2.5132741228718345,0.03,1.4073966227990076,0.2685443888263498,0.26924322985619986,1.5356925665899797,0.2945388019427092,0.2950842509117087,True,True,60.0
0.08,2.5,2.5132741228718345,0.04,1.2391742562834456,0.3161903429966918,0.31771776133820795,1.3400164584757122,0.3442453619092821,0.34524523598938156,True,True,60.0
0.1,2.5,2.5132741228718345,0.05,1.1193709633078905,0.3580565180446942,0.3605557174763794,1.2032458354582125,0.3880876319565632,0.3896747781282901,True,True,60.0
0.12,2.5,2.5132741228718345,0.06,1.0285682104094365,0.3960063756787153,0.3995710525778338,1.1008554582279184,0.42787992927520935,0.4302676472950856,True,True,60.0
