height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.39324400543492766,0.07963429089202431,0.08032626289678672,0.443809295072282,0.0896912291521944,0.08982423457985023,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.3935679920419978,0.11869430892955384,0.12035719224120314,0.4450973430975847,0.1340267554048638,0.13450699732855217,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.3936392301062571,0.15754405538509478,0.16059362403992222,0.4461405380647304,0.17825898915050642,0.17926010489459296,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.3935071352131692,0.19623943762634155,0.2010573755312641,0.4469279966206822,0.22241819601262056,0.22412326911230254,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.3932029477300048,0.23484345076211371,0.24183407175917393,0.4474487886437929,0.2665839953981749,0.2691796950732003,True,True,48.0
0.04,2.2,2.855993321445266,0.02,1.0616866772304137,0.17442123256249975,0.17529945204965963,1.2651284755407122,0.20672726621118526,0.20724197414424858,True,True,66.0
0.06,2.2,2.855993321445266,0.03,1.0524093455735897,0.25940267533725725,0.2612542201772345,1.253406845316973,0.307460892836545,0.3085129812748363,True,True,52.800000000000004
0.08,2.2,2.855993321445266,0.04,1.0335220188682186,0.3386221079992747,0.34191861531743184,1.2273694893568212,0.40122633984071066,0.403139273747454,True,True,52.800000000000004
0.1,2.2,2.855993321445266,0.05,1.0126268627661255,0.4144499450783452,0.4194210939549435,1.1958186420062644,0.48887775527494925,0.49180197543267423,True,True,52.800000000000004
0.12,2.2,2.855993321445266,0.06,0.9904144728650195,0.4864866230006588,0.4934080848261106,1.1619228870136864,0.5705670946057555,0.5747236426370026,True,True,52.800000000000004
0.04,2.3,2.7318196987737333,0.02,1.9174229083974261,0.2863540371039925,0.28706818601188266,2.425438838705433,0.3624402301733317,0.3630840088833608,True,True,69.0
0.06,2.3,2.7318196987737333,0.03,1.7775597050142324,0.3989048935179164,0.4001186229855459,2.1578657369867855,0.48459241569010697,0.4858052532107881,True,True,55.2
0.08,2.3,2.7318196987737333,0.04,1.658233012713277,0.49603931443759336,0.497825108150467,1.9609951551407578,0.5878658377811119,0.5896764985602735,True,True,55.2
0.1,2.3,2.7318196987737333,0.05,1.554130005519752,0.5815319755640008,0.5838533438114895,1.8066542153451488,0.6780701231294384,0.6806355518271592,True,True,55.2
0.12,2.3,2.7318196987737333,0.06,1.4647981075877203,0.6582944027815038,0.6611452610971971,1.6821525073903156,0.7589304818284812,0.7623664030231215,True,True,55.2
0.04,2.4,2.6179938779914944,0.02,3.0838497893898915,0.42340777310302213,0.42371284421454747,3.5811266683888814,0.4926033174097508,0.4926639311872264,True,True,57.6
0.06,2.4,2.6179938779914944,0.03,2.5717842533637185,0.5299020791591114,0.5310321402878833,2.9267684560106066,0.6049007907280879,0.6050802446355641,True,True,57.6
0.08,2.4,2.6179938779914944,0.04,2.251866085432171,0.6193140075676288,0.6216276609576399,2.5307281697616353,0.6988631520959094,0.6991998259287274,True,True,57.6
0.1,2.4,2.6179938779914944,0.05,2.0276712147313827,0.6978747098073893,0.7015683368169032,2.258877401209449,0.7814356398306659,0.7820383256389156,True,True,57.6
0.12,2.4,2.6179938779914944,0.06,1.8593413629654245,0.7688681386169745,0.7741446789759955,2.0577809318633005,0.8560550730639964,0.8569338462279008,True,True,57.6
0.04,2.5,2.5132741228718345,0.02,3.500403996004177,0.44330138047563417,0.4443936567201453,3.8134069293698523,0.4837533348555911,0.4843144063504243,True,True,60.0
0.06,2.5,2.5132741228718345,0.03,2.88011174901658,0.5476240225832745,0.5503481717404264,3.128092253582607,0.5964054582392728,0.5973792298247999,True,True,60.0
0.08,2.5,2.5132741228718345,0.04,2.5045694243131953,0.6358275517077591,0.6407748475237337,2.7112336378396376,0.6908422924539087,0.692271778347541,True,True,60.0
0.1,2.5,2.5132741228718345,0.05,2.246006673237106,0.7136691644387546,0.7213932485131099,2.4239891063366565,0.7740173786730928,0.7758162393635499,True,True,60.0
0.12,2.5,2.5132741228718345,0.06,2.0540413433714613,0.7842156440403094,0.7952113042587785,2.210882417763733,0.8492288394136092,0.8513938433066037,True,True,60.0
0.04,2.6,2.41660973353061,0.02,3.0297717409558733,0.35463017936023544,0.3546412742376321,3.172410762139395,0.37125350920365785,0.37163583897712565,True,True,62.4
0.06,2.6,2.41660973353061,0.03,2.6749154542835876,0.4702308623733347,0.4715678573546429,2.8146816165339255,0.4953271717129419,0.4964332130587896,True,True,62.4
0.08,2.6,2.41660973353061,0.04,2.4133928362640766,0.5666195033306669,0.5702536584407462,2.5440224393881437,0.5985655746132126,0.6005449004307376,True,True,62.4
0.1,2.6,2.41660973353061,0.05,2.213764860619163,0.650744753305876,0.6576971868312071,2.334599445712114,0.6885812151102012,0.69161556508024,True,True,62.4
0.12,2.6,2.41660973353061,0.06,2.055793252778737,0.7263220017802159,0.7374894500933467,2.167566030983933,0.7692978992809416,0.773461092918455,True,True,62.4
0.04,2.65,2.3710133234639947,0.02,2.686094453866196,0.30290271365586985,0.30339269559158544,2.77769644710169,0.3130449661576675,0.3132531523089143,True,True,63.6
0.06,2.65,2.3710133234639947,0.03,2.4711098103452898,0.4181005114486227,0.4183352599625371,2.5697354537716066,0.43496228222252037,0.43574763753128826,True,True,63.6
