t,surge,sway,heave,roll,pitch,yaw,heave_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.614076754331448451e-15,1.901840641360652574e-20,9.997954225978117337e-02,3.273436508512528256e-19,-1.174975622605424884e-14,7.880703305855686139e-19,-4.091549097812239091e-03
2.000000000000000042e-02,6.457946484426482139e-15,6.423968625727606240e-20,9.991818031951438250e-02,1.326307596250993100e-18,-4.698616290919662576e-14,3.130952144272509214e-18,-8.180843752501602839e-03
2.999999999999999889e-02,1.453626952842586743e-14,9.950495631031247755e-20,9.981595372644234965e-02,3.048114759070276180e-18,-1.056671310475471695e-13,6.962609529601650534e-18,-1.226448514722406832e-02
4.000000000000000083e-02,2.585606542267167441e-14,6.512907025357542140e-20,9.967293885890228522e-02,5.576340081639480725e-18,-1.877164195065430631e-13,1.217018914964280700e-17,-1.633850415084287314e-02
5.000000000000000278e-02,4.042628527392106082e-14,-1.192858576070598249e-19,9.948925170187293554e-02,9.022644793601703634e-18,-2.930223124672075389e-13,1.859245443575997975e-17,-2.039894849430817086e-02
5.999999999999999778e-02,5.825765134650423319e-14,-5.514248648426462421e-19,9.926504761698379253e-02,1.352192477668487518e-17,-4.214379975367788459e-13,2.601764038565405905e-17,-2.444189514368852109e-02
7.000000000000000666e-02,7.936234341713258516e-14,-1.341930524030103804e-18,9.900052100483641704e-02,1.922610403882750965e-17,-5.727822102029049732e-13,3.418310348061624404e-17,-2.846345929396840516e-02
8.000000000000000167e-02,1.037536624890481302e-13,-2.610171726177236233e-18,9.869590486716360578e-02,2.629799889187418714e-17,-7.468399845337755288e-13,4.277704750045390666e-17,-3.245980553199345753e-02
8.999999999999999667e-02,1.314455687940870525e-13,-4.480174250466362497e-18,9.835147026674810611e-02,3.490529348205727968e-17,-9.433636356520328820e-13,5.144426501391857548e-17,-3.642715703134663530e-02
1.000000000000000056e-01,1.624521630322248039e-13,-7.077430977516368032e-18,9.796752569101174757e-02,4.521563753169454623e-17,-1.162073888438347687e-12,5.979636622347558142e-17,-4.036180568916919453e-02
1.100000000000000006e-01,1.967870585254211463e-13,-1.052671768684925922e-17,9.754441632034097087e-02,5.739301483350317140e-17,-1.402661214761970517e-12,6.742746401584173085e-17,-4.426012099434731284e-02
1.199999999999999956e-01,2.344626856159391189e-13,-1.495127663451578334e-17,9.708252320665416990e-02,7.159589460695077567e-17,-1.664787326202851966e-12,7.393508456035207416e-17,-4.811855914579634547e-02
1.300000000000000044e-01,2.754895083369019021e-13,-2.047330298689384064e-17,9.658226236534547815e-02,8.797706735628587469e-17,-1.948086843512510335e-12,7.894591239322647081e-17,-5.193367123364869831e-02
1.400000000000000133e-01,3.198751857170223323e-13,-2.721568735475683591e-17,9.604408378625614584e-02,1.066851158220296650e-16,-2.252169099212462635e-12,8.214496551995071675e-17,-5.570211127101192677e-02
1.499999999999999944e-01,3.676236801989187584e-13,-3.530465335242571679e-17,9.546847036821352883e-02,1.278670319642451280e-16,-2.576620065527837700e-12,8.330641965384021291e-17,-5.942064343535191639e-02
1.600000000000000033e-01,4.187343454005643503e-13,-4.487287860228287601e-17,9.485593678312599641e-02,1.516714401710552866e-16,-2.921004362706267934e-12,8.232359760471522592e-17,-6.308614892569192056e-02
1.700000000000000122e-01,4.732010110551905458e-13,-5.606249725458401584e-17,9.420702827512542066e-02,1.782516282198306606e-16,-3.284867319751221134e-12,7.923542556823441185e-17,-6.669563208887005490e-02
1.799999999999999933e-01,5.310110993016142008e-13,-6.902737205580772252e-17,9.352231940107887109e-02,2.077675910834451461e-16,-3.667737039090307827e-12,7.424643777031561275e-17,-7.024622602460134368e-02
1.900000000000000022e-01,5.921447985755983005e-13,-8.393398203619279340e-17,9.280241271856649876e-02,2.403862437899501676e-16,-4.069126426046820497e-12,6.773761620820042015e-17,-7.373519748346714364e-02
2.000000000000000111e-01,6.565743287341017674e-13,-1.009603648372632965e-16,9.204793742787335808e-02,2.762791025050221238e-16,-4.488535134786668459e-12,6.026570633521694595e-17,-7.715995116886283089e-02
2.099999999999999922e-01,7.242633246653409062e-13,-1.202926621028691455e-16,9.125954797441089561e-02,3.156168918067016619e-16,-4.925451390263053224e-12,5.254935104514559079e-17,-8.051803334714305316e-02
2.200000000000000011e-01,7.951663665067891295e-13,-1.421190209145208109e-16,9.043792261818513201e-02,3.585608258276522054e-16,-5.379353644865405778e-12,4.544124535790300889e-17,-8.380713482959262217e-02
2.300000000000000100e-01,8.692286774817528388e-13,-1.666208291003423304e-16,8.958376197679836228e-02,4.052506207835861521e-16,-5.849712037630044350e-12,3.988658565521795595e-17,-8.702509328266883060e-02
2.399999999999999911e-01,9.463860065770141079e-13,-1.939615350494204791e-16,8.869778754849705349e-02,4.557896674276386940e-16,-6.335989629130439280e-12,3.686921244443866706e-17,-9.016989490930082951e-02
2.500000000000000000e-01,1.026564704994629334e-12,-2.242735692041137381e-16,8.778074022160869960e-02,5.102281452372791531e-16,-6.837643396082119489e-12,3.734799359298635486e-17,-9.323967548918739301e-02
2.600000000000000089e-01,1.109681998751878883e-12,-2.576441452271296451e-16,8.683337877660640691e-02,5.685451982183984843e-16,-7.354124978603507138e-12,4.218702748954186782e-17,-9.623272081335734751e-02
2.700000000000000178e-01,1.195646451094976529e-12,-2.941009329184796328e-16,8.585647838681637056e-02,6.306315571019161054e-16,-7.884881184672603065e-12,5.208410019075802546e-17,-9.914746652069464372e-02
2.800000000000000266e-01,1.284358601078502550e-12,-3.335987530542330779e-16,8.485082912358136997e-02,6.962741739228072878e-16,-8.429354266222872013e-12,6.750240096893748654e-17,-1.019824973703986476e-01
2.899999999999999800e-01,1.375711756912744544e-12,-3.760085189572957748e-16,8.381723447141684047e-02,7.651444955920529519e-16,-8.986981991721638312e-12,8.861073682173065340e-17,-1.047365459707929602e-01
2.999999999999999889e-01,1.469592916549394295e-12,-4.211096345257873306e-16,8.275650985842193663e-02,8.367919377019825904e-16,-9.557197548409486686e-12,1.152373336343148665e-16,-1.074084909996015358e-01
3.099999999999999978e-01,1.565883782620847241e-12,-4.685869424476843679e-16,8.166948120688714841e-02,9.106439157540818299e-16,-1.013942931463881739e-11,1.468417638570577075e-16,-1.099973549442397197e-01
3.200000000000000067e-01,1.664461835422263876e-12,-5.180331041378838851e-16,8.055698350871529079e-02,9.860134586970873429e-16,-1.073310054749012510e-11,1.825086074974075918e-16,-1.125023013988449144e-01
3.300000000000000155e-01,1.765201425685164451e-12,-5.689569909393624801e-16,7.941985942992080272e-02,1.062114981373005609e-15,-1.133762903358622066e-11,2.209651863957207019e-16,-1.149226319515006256e-01
3.400000000000000244e-01,1.867974848984073310e-12,-6.207982926660332920e-16,7.825895794811674189e-02,1.138088257127197785e-15,-1.195242675108618501e-11,2.606241831700635007e-16,-1.172577826994556649e-01
3.500000000000000333e-01,1.972653365387868063e-12,-6.729481263200349346e-16,7.707513302652957421e-02,1.213030042161432243e-15,-1.257689958865871608e-11,2.996502674864113769e-16,-1.195073204282636192e-01
3.599999999999999867e-01,2.079108131533055657e-12,-7.247749839763402977e-16,7.586924232771317944e-02,1.286032201630674407e-15,-1.321044716267666253e-11,3.360481179631159814e-16,-1.216709384927659593e-01
3.699999999999999956e-01,2.187211017259018164e-12,-7.756549251126732916e-16,7.464214596976113947e-02,1.356224617289661218e-15,-1.385246276745120477e-11,3.677675744961645004e-16,-1.237484524364077659e-01
3.800000000000000044e-01,2.296835285133375927e-12,-8.250045280596831732e-16,7.339470532744893361e-02,1.422820662934442852e-15,-1.450233348527746269e-11,3.928202069664416041e-16,-1.257397953858666317e-01
3.900000000000000133e-01,2.407856118155076378e-12,-8.723147984754953302e-16,7.212778188037539950e-02,1.485162657632670994e-15,-1.515944047398706579e-11,4.094004578399137278e-16,-1.276450132565429552e-01
4.000000000000000222e-01,2.520150988325863591e-12,-9.171840174547652489e-16,7.084223610981946195e-02,1.542764482959471471e-15,-1.582315944004047712e-11,4.160038037948985713e-16,-1.294642598039548731e-01
4.100000000000000311e-01,2.633599866171868399e-12,-9.593474193180190682e-16,6.953892644568604453e-02,1.595348504267337795e-15,-1.649286129554306362e-11,4.115341551438793987e-16,-1.311977915544826345e-01
4.199999999999999845e-01,2.748085278321326812e-12,-9.987016331611539284e-16,6.821870826458598103e-02,1.642874081443871112e-15,-1.716791298840955921e-11,3.953930081441311118e-16,-1.328459626477391797e-01
4.299999999999999933e-01,2.863492226523637629e-12,-1.035322007449518091e-15,6.688243293978170245e-02,1.685555292232203988e-15,-1.784767848673130816e-11,3.675436851015139540e-16,-1.344092196210524004e-01
4.400000000000000022e-01,2.979707986754992675e-12,-1.069471258334553082e-15,6.553094694343272741e-02,1.723866008240429060e-15,-1.853151989158529976e-11,3.285453034885399826e-16,-1.358880961649491237e-01
4.500000000000000111e-01,3.096621811064169172e-12,-1.101598325092460512e-15,6.416509100129644261e-02,1.758531134098892662e-15,-1.921879864736992965e-11,2.795528356108219103e-16,-1.372832078765882091e-01
4.600000000000000200e-01,3.214124557444691189e-12,-1.132326856319390548e-15,6.278569929977914632e-02,1.790503606047474701e-15,-1.990887681542467604e-11,2.222816505489307183e-16,-1.385952470362445954e-01
4.700000000000000289e-01,3.332108274223518773e-12,-1.162433356695519279e-15,6.139359874499140945e-02,1.820927600159442423e-15,-2.060111837525703551e-11,1.589371414903302190e-16,-1.398249774299220871e-01
4.799999999999999822e-01,3.450465765277893343e-12,-1.192815658997901035e-15,5.998960827324097134e-02,1.851089268654452579e-15,-2.129489051809818576e-11,9.211228934057454285e-17,-1.409732292392140152e-01
4.899999999999999911e-01,3.569090160946737961e-12,-1.224453008984586977e-15,5.857453821219520823e-02,1.882357148581164837e-15,-2.198956489958261050e-11,2.465814686961259213e-17,-1.420408940175011958e-01
5.000000000000000000e-01,3.687874516979713229e-12,-1.258359620584091221e-15,5.714918969176419061e-02,1.916115114803382489e-15,-2.268451882184444782e-11,-4.046589972156504131e-17,-1.430289197696119063e-01
5.100000000000000089e-01,3.806711460499288881e-12,-1.295534036472881244e-15,5.571435410359391188e-02,1.953691327723190600e-15,-2.337913631993271336e-11,-1.003537544281806962e-16,-1.439383061501026129e-01
5.200000000000000178e-01,3.925492898007207728e-12,-1.336906980507625895e-15,5.427081260791722511e-02,1.996287012971857632e-15,-2.407280913281130179e-11,-1.523168015738771118e-16,-1.447700997934282807e-01
5.300000000000000266e-01,4.044109796223315170e-12,-1.383290586840023716e-15,5.281933568638641496e-02,2.044909074325905439e-15,-2.476493754495933814e-11,-1.940409365458826919e-16,-1.455253897874265456e-01
5.400000000000000355e-01,4.162452042272508880e-12,-1.435331918459432793e-15,5.136068273940595091e-02,2.100310465143810447e-15,-2.545493109036327790e-11,-2.237269152665049739e-16,-1.462053032997841506e-01
5.500000000000000444e-01,4.280408385678166015e-12,-1.493473538656444787e-15,4.989560172639565666e-02,2.162941925710189431e-15,-2.614220911617065903e-11,-2.402053122601262508e-16,-1.468110013654729262e-01
5.600000000000000533e-01,4.397866460982290484e-12,-1.557923577118388367e-15,4.842482884734265053e-02,2.232918147740609224e-15,-2.682620120818568929e-11,-2.430187522323403631e-16,-1.473436748415611897e-01
5.700000000000000622e-01,4.514712886746779660e-12,-1.628637253949753855e-15,4.694908826394365853e-02,2.310000681676830293e-15,-2.750634748452658053e-11,-2.324659360636342250e-16,-1.478045405343165752e-01
5.799999999999999600e-01,4.630833434293223051e-12,-1.705311216143084176e-15,4.546909185859714098e-02,2.393598999367804767e-15,-2.818209876700696398e-11,-2.096042040380811818e-16,-1.481948375021327757e-01
5.899999999999999689e-01,4.746113257848309965e-12,-1.787391337004515870e-15,4.398553902947582861e-02,2.482790117109139378e-15,-2.885291664209984787e-11,-1.762098271090192995e-16,-1.485158235365286739e-01
5.999999999999999778e-01,4.860437176760668699e-12,-1.874093871483052726e-15,4.249911651989347200e-02,2.576356132041070136e-15,-2.951827342471751737e-11,-1.346977357659317886e-16,-1.487687718222922562e-01
6.099999999999999867e-01,4.973690000076783994e-12,-1.964439094957502281e-15,4.101049828017451493e-02,2.672837992382397630e-15,-3.017765203858329148e-11,-8.800482541366699260e-17,-1.489549677767674496e-01
6.199999999999999956e-01,5.085756883904111532e-12,-2.057295826536192311e-15,3.952034536023998901e-02,2.770602872164344390e-15,-3.083054582682143812e-11,-3.944316280352765970e-17,-1.490757060673115753e-01
6.300000000000000044e-01,5.196523712518478962e-12,-2.151434595083304003e-15,3.802930583113724866e-02,2.867921712656825504e-15,-3.147645830572278927e-11,7.468778108773110352e-18,-1.491322878050808376e-01
6.400000000000000133e-01,5.305877494947889978e-12,-2.245586686891379687e-15,3.653801473376330072e-02,2.963052875772002723e-15,-3.211490287364615096e-11,4.918741315824382021e-17,-1.491260179125278029e-01
6.500000000000000222e-01,5.413706769644805772e-12,-2.338505950607553995e-15,3.504709405306110498e-02,3.054327467961254994e-15,-3.274540248587599648e-11,8.232770524154391418e-17,-1.490582026613152811e-01
