t,surge,sway,heave,roll,pitch,yaw,heave_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.614076754331448451e-15,1.901840641360652574e-20,9.997954225978117337e-02,3.273436508512528256e-19,-1.174975622605424884e-14,7.880703305855686139e-19,-4.091549097812239091e-03
2.000000000000000042e-02,6.458175553403977767e-15,6.431832058769671132e-20,9.991817741654122897e-02,1.326483337100757513e-18,-4.698783021683648446e-14,3.131063972216776224e-18,-8.181422895646788332e-03
2.999999999999999889e-02,1.453809594963732361e-14,1.001340398080323750e-19,9.981593058941512497e-02,3.049524661288124670e-18,-1.056804188344550188e-13,6.963497853518685883e-18,-1.226794821351763487e-02
4.000000000000000083e-02,2.586358694375275414e-14,6.773211515790486771e-20,9.967284363000317171e-02,5.582197367565933307e-18,-1.877711052688077369e-13,1.217382776878157697e-17,-1.634945165374444842e-02
5.000000000000000278e-02,4.044814810879292399e-14,-1.116725754227151791e-19,9.948897510811961775e-02,9.039867018820014732e-18,-2.931811285909864362e-13,1.860295348171933403e-17,-2.042426303111062949e-02
5.999999999999999778e-02,5.830886738805642035e-14,-5.334549292906983219e-19,9.926440028570261698e-02,1.356284428055347065e-17,-4.218096277715443554e-13,2.604200371371104239e-17,-2.449071406085765595e-02
7.000000000000000666e-02,7.946610291810221751e-14,-1.305205542805876877e-18,9.899921108751623400e-02,1.931038626954155862e-17,-5.735340854019333363e-13,3.423188603670970185e-17,-2.854714049378720073e-02
8.000000000000000167e-02,1.039431402784372029e-13,-2.542451372575237832e-18,9.869351606238760399e-02,2.645480139610043099e-17,-7.482108191682117616e-13,4.286488238343054549e-17,-3.259188174215071898e-02
8.999999999999999667e-02,1.317657212068141965e-13,-4.364539910734750110e-18,9.834744033955412912e-02,3.517568123172572307e-17,-9.456756430908174019e-13,5.159022988021406531e-17,-3.662328232771273895e-02
1.000000000000000056e-01,1.629615130011988599e-13,-6.891409389605668779e-18,9.796112557682319644e-02,4.565525425527613018e-17,-1.165744618667642497e-12,6.002416071132672755e-17,-4.063969200140500615e-02
1.100000000000000006e-01,1.975594656359966077e-13,-1.024137487968786814e-17,9.753472990297681888e-02,5.807499559645890182e-17,-1.408214957907946362e-12,6.776537362194868056e-17,-4.463946682542333649e-02
1.199999999999999956e-01,2.355890978672851282e-13,-1.453029464479256648e-17,9.706842785269149954e-02,7.261399479215624720e-17,-1.672866029938891315e-12,7.441571315695444249e-17,-4.862096955121256170e-02
1.300000000000000044e-01,2.770796917946677072e-13,-1.987205239605136100e-17,9.656241029527498632e-02,8.944897757615743615e-17,-1.959460494128324761e-12,7.960567507306215533e-17,-5.258257050490115769e-02
1.400000000000000133e-01,3.220594279821636352e-13,-2.638030745818323524e-17,9.601688435632205199e-02,1.087559319836269690e-16,-2.267745520607219135e-12,8.302334607840265452e-17,-5.652264809857312361e-02
1.499999999999999944e-01,3.705544630833871231e-13,-3.417114940065540089e-17,9.543207333299584538e-02,1.307128535755755193e-16,-2.597454093384169826e-12,8.444501209471814418e-17,-6.043958960807563341e-02
1.600000000000000033e-01,4.225879818250729009e-13,-4.336624262370648749e-17,9.480821660247891469e-02,1.555030768798518157e-16,-2.948306355655174040e-12,8.376496804413320021e-17,-6.433179175092768043e-02
1.700000000000000122e-01,4.781792406717719079e-13,-5.409585655946170274e-17,9.414556952398861478e-02,1.833184021057043741e-16,-3.320010973160280306e-12,8.102184855281432695e-17,-6.819766140308562707e-02
1.799999999999999933e-01,5.373426369330012320e-13,-6.650116859359760930e-17,9.344440333413722710e-02,2.143612280047415788e-16,-3.712266471783489486e-12,7.641857804000279083e-17,-7.203561620773080154e-02
1.900000000000000022e-01,6.000868291083571058e-13,-8.073518737522293476e-17,9.270500503586882879e-02,2.488448483463976404e-16,-4.124762514553693291e-12,7.033324166050350258e-17,-7.584408525513157417e-02
2.000000000000000111e-01,6.664139417395048454e-13,-9.696174035608549837e-17,9.192767728088109547e-02,2.869912056847819355e-16,-4.557181074430802389e-12,6.331852880743303552e-17,-7.962150970289917640e-02
2.099999999999999922e-01,7.363188816836007637e-13,-1.153520824166040514e-16,9.111273824568021096e-02,3.290255464134921693e-16,-5.009197466849838960e-12,5.608809693367817379e-17,-8.336634343122020785e-02
2.200000000000000011e-01,8.097887936974520552e-13,-1.360788904308505948e-16,9.026052150124701245e-02,3.751677017250334595e-16,-5.480481205319540333e-12,4.948905676620745422e-17,-8.707705366382431644e-02
2.300000000000000100e-01,8.868026761871771953e-13,-1.593076361960432707e-16,8.937137587642092484e-02,4.256200203834874215e-16,-5.970696652276792501e-12,4.446084376934317271e-17,-9.075212160459412980e-02
2.399999999999999911e-01,9.673311743148639799e-13,-1.851856043548681319e-16,8.844566531501926732e-02,4.805523436237329129e-16,-6.479503442604055338e-12,4.198185779871560929e-17,-9.439004305307485687e-02
2.500000000000000000e-01,1.051336559476740160e-12,-2.138290880629329487e-16,8.748376872677840477e-02,5.400847623230177960e-16,-7.006556667858862211e-12,4.300639301039394632e-17,-9.798932902516307997e-02
2.600000000000000089e-01,1.138772897746047801e-12,-2.453095533542323965e-16,8.648607983215779449e-02,6.042692355475958786e-16,-7.551506817984895073e-12,4.839540564106877881e-17,-1.015485063594240150e-01
2.700000000000000178e-01,1.229586401293774855e-12,-2.796397722434949107e-16,8.545300700108540704e-02,6.730714203919943023e-16,-8.113999488562971179e-12,5.884551643261239128e-17,-1.050661183228222273e-01
2.800000000000000266e-01,1.323715949622925015e-12,-3.167610754074872815e-16,8.438497308569978261e-02,7.463542555242567549e-16,-8.693674871298926196e-12,7.482121150657422848e-17,-1.085407252054110816e-01
2.899999999999999800e-01,1.421093759825249397e-12,-3.565329406812336146e-16,8.328241524716542554e-02,8.238649178514898371e-16,-9.290167055517393740e-12,9.649544090843251940e-17,-1.119709049111599491e-01
2.999999999999999889e-01,1.521646179054347716e-12,-3.987261079322420677e-16,8.214578477662683176e-02,9.052267270222243384e-16,-9.903103176468352110e-12,1.237036633574111920e-16,-1.153552535392784600e-01
3.099999999999999978e-01,1.625294567151386675e-12,-4.430202837924883409e-16,8.097554691037879560e-02,9.899373920305476379e-16,-1.053210245319273311e-11,1.559158431310120434e-16,-1.186923859597257824e-01
3.200000000000000067e-01,1.731956234014317113e-12,-4.890072769635617944e-16,7.977218063932578485e-02,1.077374686600749189e-15,-1.117677516314344917e-11,1.922299801047872521e-16,-1.219809363798135815e-01
3.300000000000000155e-01,1.841545394417552859e-12,-5.362000938624020282e-16,7.853617851281086137e-02,1.166810215429329543e-15,-1.183672160321312229e-11,2.313894978941203719e-16,-1.252195589037472245e-01
3.400000000000000244e-01,1.953974103115280879e-12,-5.840481446656931070e-16,7.726804643689307028e-02,1.257431418398501669e-15,-1.251153108662753238e-11,2.718252992630176246e-16,-1.284069280833657622e-01
3.500000000000000333e-01,2.069153134838901523e-12,-6.319582840013902798e-16,7.596830346715711946e-02,1.348371385038384596e-15,-1.320078102274726852e-11,3.117216233392243675e-16,-1.315417394609532664e-01
3.599999999999999867e-01,2.186992777347482579e-12,-6.793209685602946166e-16,7.463748159613964317e-02,1.438745457280025731e-15,-1.390403612206194613e-11,3.491031193361821006e-16,-1.346227101031006734e-01
3.699999999999999956e-01,2.307403510611419082e-12,-7.255403869137513931e-16,7.327612553545988228e-02,1.527693026699518412e-15,-1.462084776206367976e-11,3.819389118881931056e-16,-1.376485791259804692e-01
3.800000000000000044e-01,2.430296551334936911e-12,-7.700670378639548317e-16,7.188479249274364047e-02,1.614422427399248330e-15,-1.535075354149700439e-11,4.082579966192059029e-16,-1.406181082113963920e-01
3.900000000000000133e-01,2.555584248901200751e-12,-8.124309330719423983e-16,7.046405194343242917e-02,1.698256427982262977e-15,-1.609327704128805561e-11,4.262691859065498520e-16,-1.435300821137045768e-01
4.000000000000000222e-01,2.683180326131172385e-12,-8.522734043562252296e-16,6.901448539757121248e-02,1.778675571634940999e-15,-1.684792780069962155e-11,4.344781188306358384e-16,-1.463833091571750955e-01
4.100000000000000311e-01,2.812999965532322359e-12,-8.893754260022029168e-16,6.753668616167055050e-02,1.855356528787029399e-15,-1.761420150753457481e-11,4.317936253083598109e-16,-1.491766217237528169e-01
4.199999999999999845e-01,2.944959748625818603e-12,-9.236804300371121335e-16,6.603125909574067420e-02,1.928202728457997768e-15,-1.839158039199060572e-11,4.176160286715004957e-16,-1.519088767309001720e-01
4.299999999999999933e-01,3.078977462106949483e-12,-9.553098005637765769e-16,6.449882036559734244e-02,1.997364825663303533e-15,-1.917953380554769129e-11,3.919007841420455042e-16,-1.545789560994119960e-01
4.400000000000000022e-01,3.214971789743589081e-12,-9.845695751246313654e-16,6.293999719054085840e-02,2.063249033627388657e-15,-1.997751895940789596e-11,3.551921459835059413e-16,-1.571857672109490678e-01
4.500000000000000111e-01,3.352861912822775939e-12,-1.011947340076085922e-15,6.135542758651200274e-02,2.126511978283160158e-15,-2.078498179180656761e-11,3.086232615516123668e-16,-1.597282433551485414e-01
4.600000000000000200e-01,3.492567044495177086e-12,-1.038098857728926306e-15,5.974576010482994526e-02,2.188041484130334180e-15,-2.160135793013592198e-11,2.538811026875013354e-16,-1.622053441660956385e-01
4.700000000000000289e-01,3.634005924490945308e-12,-1.063824572768062986e-15,5.811165356661945891e-02,2.248923530505057962e-15,-2.242607371233117771e-11,1.931368362214683273e-16,-1.646160560480021129e-01
4.799999999999999822e-01,3.777096300436186328e-12,-1.090036776185835284e-15,5.645377679303625884e-02,2.310396474203176408e-15,-2.325854723230127416e-11,1.289444621724188442e-16,-1.669593925899005571e-01
4.899999999999999911e-01,3.921754420503600535e-12,-1.117718815799392951e-15,5.477280833140110716e-02,2.373794462946002085e-15,-2.409818937618387516e-11,6.411266104148919475e-17,-1.692343949691974825e-01
5.000000000000000000e-01,4.067894559572652398e-12,-1.147878292511156997e-15,5.306943617735494084e-02,2.440482709151532837e-15,-2.494440481961536983e-11,1.556645397096077212e-18,-1.714401323439115055e-01
5.100000000000000089e-01,4.215428597686798648e-12,-1.181496632699546689e-15,5.134435749314903569e-02,2.511787903392369435e-15,-2.579659296072016070e-11,-5.586172440863570486e-17,-1.735757022334432353e-01
5.200000000000000178e-01,4.364265665644879965e-12,-1.219477746845118500e-15,4.959827832218548921e-02,2.588927477705825747e-15,-2.665414876878338669e-11,-1.054963310378934423e-16,-1.756402308877164919e-01
5.300000000000000266e-01,4.514311868325765848e-12,-1.262598647842969400e-15,4.783191329992528967e-02,2.672941647030738697e-15,-2.751646353421156618e-11,-1.450720677671907445e-16,-1.776328736445441092e-01
5.400000000000000355e-01,4.665470092088284789e-12,-1.311464894222402571e-15,4.604598536128229336e-02,2.764632142001858920e-15,-2.838292551104880526e-11,-1.728235585607995178e-16,-1.795528152750698048e-01
5.500000000000000444e-01,4.817639898553722763e-12,-1.366473539350322409e-15,4.424122544462309042e-02,2.864511292349870542e-15,-2.925292044868204277e-11,-1.876087136221157771e-16,-1.813992703171473653e-01
5.600000000000000533e-01,4.970717503467734815e-12,-1.427785914662595139e-15,4.241837219249410679e-02,2.972764636819903455e-15,-3.012583201416906250e-11,-1.889898684748505812e-16,-1.831714833965198408e-01
5.700000000000000622e-01,5.124595836303302111e-12,-1.495312071158336983e-15,4.057817164919854530e-02,3.089229547417568366e-15,-3.100104211065787984e-11,-1.772770954648690249e-16,-1.848687295356691018e-01
5.799999999999999600e-01,5.279164673900743374e-12,-1.568708076974166379e-15,3.872137695534710877e-02,3.213391501121351641e-15,-3.187793110051196854e-11,-1.535304790195183116e-16,-1.864903144502090826e-01
5.899999999999999689e-01,5.434310839780842470e-12,-1.647386656330678327e-15,3.684874803950768246e-02,3.344398660461824729e-15,-3.275587794396462408e-11,-1.195205712798070731e-16,-1.880355748327028342e-01
5.999999999999999778e-01,5.589918459793972730e-12,-1.730540899053312038e-15,3.496105130708034026e-02,3.481094393262985013e-15,-3.363426026542509589e-11,-7.764873885889421871e-17,-1.895038786237873141e-01
6.099999999999999867e-01,5.745869264414509538e-12,-1.817180016076407878e-15,3.305905932652501711e-02,3.622066333602902857e-15,-3.451245436003820076e-11,-3.083151572533263459e-17,-1.908946252704962487e-01
6.199999999999999956e-01,5.902042928150807122e-12,-1.906175411072224655e-15,3.114355051307061625e-02,3.765709623455429553e-15,-3.538983515289870927e-11,1.764476125579366059e-17,-1.922072459716756554e-01
6.300000000000000044e-01,6.058317437086092749e-12,-1.996314725211243765e-15,2.921530881003489913e-02,3.910301136791403177e-15,-3.626577612261508155e-11,6.429097540603189951e-17,-1.934412039103925174e-01
6.400000000000000133e-01,6.214569476352236681e-12,-2.086361029212822185e-15,2.727512336788583819e-02,4.054080827082421260e-15,-3.713964919989387362e-11,1.055945617934135504e-16,-1.945959944732423286e-01
6.500000000000000222e-01,6.370674830225584994e-12,-2.175114014524645064e-15,2.532378822117582751e-02,4.195335896412420741e-15,-3.801082465066231565e-11,1.382010753744894897e-16,-1.956711454564663832e-01
