article,T_s,H_used_m,R,F_fixed_flume_N,F_refined_N,max_buoy_tilt_deg,small_angle_ok
1 buoy,1.4,0.204,0.141,0.86,0.12,4.9,True
1 buoy,1.6,0.266,0.041,1.47,0.06,9.6,True
1 buoy,1.8,0.336,-0.03,2.36,-0.07,20.4,False
1 buoy,2.0,0.413,-0.361,3.57,-1.29,45.2,False
1 buoy,2.1,0.453,-0.301,4.32,-1.3,54.8,False
1 buoy,2.2,0.493,-0.001,5.16,-0.0,55.9,False
1 buoy,2.3,0.5,0.164,5.0,0.82,46.1,False
1 buoy,2.4,0.5,0.249,4.69,1.17,34.2,False
1 buoy,2.6,0.5,0.121,4.2,0.51,20.6,False
1 buoy,2.8,0.5,0.041,3.85,0.16,14.4,False
1 buoy,3.0,0.5,0.008,3.59,0.03,11.0,False
1 buoy,3.5,0.5,-0.007,3.17,-0.02,6.7,True
1 buoy,4.0,0.5,-0.003,2.92,-0.01,4.6,True
1 cluster (4 buoys),1.4,0.204,0.251,3.46,0.87,2.9,True
1 cluster (4 buoys),1.6,0.266,0.107,5.9,0.63,4.8,True
1 cluster (4 buoys),1.8,0.336,0.029,9.43,0.28,7.5,True
1 cluster (4 buoys),2.0,0.413,-0.025,14.28,-0.35,11.5,False
1 cluster (4 buoys),2.1,0.453,-0.071,17.27,-1.22,14.3,False
1 cluster (4 buoys),2.2,0.493,-0.136,20.66,-2.8,17.7,False
1 cluster (4 buoys),2.3,0.5,-0.234,20.01,-4.68,20.5,False
1 cluster (4 buoys),2.4,0.5,-0.385,18.77,-7.22,23.6,False
1 cluster (4 buoys),2.6,0.5,-0.874,16.82,-14.69,30.0,False
1 cluster (4 buoys),2.8,0.5,-1.39,15.4,-21.41,34.6,False
1 cluster (4 buoys),3.0,0.5,-1.224,14.35,-17.56,32.5,False
1 cluster (4 buoys),3.5,0.5,-0.169,12.66,-2.14,14.6,False
1 cluster (4 buoys),4.0,0.5,-0.038,11.7,-0.44,8.4,True
4x4 platform (45°),1.4,0.204,0.74,13.83,10.24,2.4,True
4x4 platform (45°),1.8,0.336,0.302,37.7,11.4,6.0,True
4x4 platform (45°),2.1,0.453,0.097,69.08,6.72,12.4,False
4x4 platform (45°),2.4,0.5,-0.068,75.06,-5.11,20.8,False
4x4 platform (45°),2.8,0.5,-0.931,61.62,-57.35,35.9,False
4x4 platform (45°),3.5,0.5,-0.174,50.64,-8.81,15.8,False
