article,attachment,T_surge_design_s,Kx_Npm,Ky_Npm,Kz_geo_Npm,T_surge_s,surge_MAC,dT_heave_pct,T_pitch_unmoored_s,T_pitch_moored_s,dT_pitch_pct,pitch_MAC,T_tilt_unmoored_s,T_tilt_moored_s,dT_tilt_pct,tilt_MAC,offset_H0.5_m,trim_H0.5_deg,buoy_tilt_H0.5_deg,offset_H0.3_m,trim_H0.3_deg,buoy_tilt_H0.3_deg
1 buoy,"spar, waterline",10.0,15.95,4.08,2.21,10.03,1.0,-0.563,2.1131,2.1082,-0.229,1.0,,,,,0.327,0.0,0.0,0.122,0.0,0.0
1 buoy,"spar, waterline",15.0,7.09,2.43,1.68,15.02,1.0,-0.429,2.1131,2.111,-0.099,1.0,,,,,0.737,0.0,0.0,0.274,0.0,0.0
1 buoy,"spar, waterline",20.0,3.99,1.85,1.49,20.01,1.0,-0.381,2.1131,2.1119,-0.055,1.0,,,,,1.31,0.0,0.0,0.488,0.0,0.0
1 buoy,"spar, waterline",25.0,2.55,1.58,1.41,25.01,1.0,-0.36,2.1131,2.1123,-0.035,1.0,,,,,2.047,0.0,0.0,0.762,0.0,0.0
1 buoy,"spar, waterline",30.0,1.77,1.44,1.36,30.01,1.0,-0.348,2.1131,2.1126,-0.025,1.0,,,,,2.947,0.0,0.0,1.098,0.0,0.0
1 cluster (4 buoys),pin plane (+0.72 m),10.0,65.89,16.73,8.97,12.18,0.981,-0.596,2.5952,2.5952,0.0,1.0,2.856,2.35,-17.714,0.982,0.317,0.0,3.031,0.118,0.0,1.129
1 cluster (4 buoys),pin plane (+0.72 m),15.0,29.28,9.89,6.77,16.5,0.995,-0.451,2.5952,2.5951,-0.006,0.968,2.856,2.5996,-8.975,0.963,0.713,-0.0,3.031,0.266,0.0,1.129
1 cluster (4 buoys),pin plane (+0.72 m),20.0,16.47,7.5,6.0,21.13,0.998,-0.4,2.5952,2.5952,-0.0,1.0,2.856,2.7044,-5.306,0.998,1.268,0.0,3.031,0.472,0.0,1.129
1 cluster (4 buoys),pin plane (+0.72 m),25.0,10.54,6.39,5.65,25.91,0.999,-0.377,2.5952,2.5952,-0.0,1.0,2.856,2.7567,-3.475,0.999,1.981,0.0,3.031,0.738,0.0,1.129
1 cluster (4 buoys),pin plane (+0.72 m),30.0,7.32,5.79,5.45,30.76,1.0,-0.364,2.5952,2.5952,-0.0,1.0,2.856,2.7862,-2.444,1.0,2.853,-0.0,3.031,1.063,-0.0,1.129
1 cluster (4 buoys),"4 spars, waterline",10.0,65.89,16.73,8.97,10.57,0.992,-0.596,2.5952,2.5797,-0.597,1.0,2.856,2.7039,-5.325,0.992,0.317,-0.0,0.0,0.118,-0.0,0.0
1 cluster (4 buoys),"4 spars, waterline",15.0,29.28,9.89,6.77,15.37,0.998,-0.451,2.5952,2.5835,-0.451,1.0,2.856,2.7879,-2.383,0.998,0.713,-0.0,0.0,0.266,-0.0,0.0
1 cluster (4 buoys),"4 spars, waterline",20.0,16.47,7.5,6.0,20.28,0.999,-0.4,2.5952,2.5848,-0.4,1.0,2.856,2.8176,-1.342,0.999,1.268,-0.0,0.0,0.472,-0.0,0.0
1 cluster (4 buoys),"4 spars, waterline",25.0,10.54,6.39,5.65,25.22,1.0,-0.377,2.5952,2.5854,-0.377,1.0,2.856,2.8314,-0.859,1.0,1.981,-0.0,0.0,0.738,-0.0,0.0
1 cluster (4 buoys),"4 spars, waterline",30.0,7.32,5.79,5.45,30.18,1.0,-0.364,2.5952,2.5858,-0.364,1.0,2.856,2.8389,-0.597,1.0,2.853,-0.0,0.0,1.063,-0.0,0.0
4x4 platform (45°),pin plane (+0.72 m),10.0,264.08,67.03,35.9,12.16,0.981,-0.597,2.6305,2.6318,0.048,0.99,2.9235,2.4084,-17.62,0.972,0.316,-0.0,3.031,0.118,-0.0,1.129
4x4 platform (45°),pin plane (+0.72 m),15.0,117.37,39.62,27.09,16.48,0.994,-0.452,2.6305,2.6267,-0.145,0.919,2.9235,2.6678,-8.747,0.914,0.712,0.0,3.031,0.265,0.0,1.129
4x4 platform (45°),pin plane (+0.72 m),20.0,66.02,30.02,24.01,21.12,0.998,-0.4,2.6305,2.6299,-0.023,0.998,2.9235,2.771,-5.218,0.996,1.266,-0.0,3.031,0.471,-0.0,1.129
4x4 platform (45°),pin plane (+0.72 m),25.0,42.25,25.58,22.59,25.9,0.999,-0.377,2.6305,2.6302,-0.011,0.999,2.9235,2.8236,-3.419,0.999,1.977,0.0,3.031,0.736,0.0,1.129
4x4 platform (45°),pin plane (+0.72 m),30.0,29.34,23.17,21.81,30.75,1.0,-0.364,2.6305,2.6303,-0.007,1.0,2.9235,2.8532,-2.405,0.999,2.848,0.0,3.031,1.06,0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",10.0,264.08,67.03,35.9,11.47,0.895,-0.597,2.6305,2.619,-0.436,0.856,2.9235,2.7697,-5.262,0.988,0.354,0.0,3.031,0.132,-0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",15.0,117.37,39.62,27.09,15.84,0.982,-0.452,2.6305,2.621,-0.36,0.907,2.9235,2.8555,-2.327,0.998,0.75,-0.0,3.031,0.279,0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",20.0,66.02,30.02,24.01,20.6,0.995,-0.4,2.6305,2.6218,-0.33,0.924,2.9235,2.8854,-1.305,0.999,1.304,0.0,3.031,0.485,-0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",25.0,42.25,25.58,22.59,25.47,0.998,-0.377,2.6305,2.6222,-0.315,0.932,2.9235,2.8992,-0.834,1.0,2.015,0.0,3.031,0.751,-0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",30.0,29.34,23.17,21.81,30.38,0.999,-0.364,2.6305,2.6224,-0.307,0.936,2.9235,2.9066,-0.578,1.0,2.885,-0.0,3.031,1.075,0.0,1.129
