t_s,center_heave_m,center_heave_acc_mps2,buoy_heave_m,buoy_heave_acc_mps2
67.2,-0.022877845907383537,0.11036205972190516,-0.026311667518249954,0.13423383244635614
67.21000000000001,-0.022777712116833455,0.10994673611846642,-0.026185802207590612,0.13368354252758627
67.22,-0.02266658785056494,0.10948256544732016,-0.02604657690871209,0.13305889036082968
67.23,-0.022544519814925425,0.10896960728485176,-0.025894054939227983,0.13236021659320069
67.24,-0.022411559598544368,0.108407933909474,-0.025728307012007037,0.13158796224288347
67.25,-0.022267763666519752,0.10779759549594238,-0.025549411191427694,0.13074261865928002
67.26,-0.02211319335517068,0.10713865071982334,-0.02535745284399608,0.1298247150694599
67.27,-0.021947914866772653,0.10643115894993817,-0.025152524584874634,0.12883482045314826
67.28,-0.02177199926397757,0.10567518277414754,-0.024934726220281228,0.12777354972669283
67.29,-0.021585522463648494,0.10487079773540868,-0.024704164685718955,0.12664155402306543
67.3,-0.021388565229770125,0.10401808609969261,-0.024460953980482633,0.12543951768221673
67.31,-0.021181213164804192,0.10311716096783329,-0.024205215098659662,0.12416816237685095
67.32000000000001,-0.020963556698806736,0.10216815384157804,-0.02393707595743675,0.12282821610215286
67.33,-0.020735691074980696,0.1011712619687279,-0.02365667132412895,0.12142041432734625
67.34,-0.020497716330771916,0.10012670942091924,-0.02336414274219814,0.11994550923474094
67.35,-0.02024973727588549,0.09903473449727844,-0.023059638454986955,0.11840429565203761
67.36,-0.019991863468476593,0.0978955940871379,-0.022743313325633816,0.11679761319808575
67.37,-0.01972420918962104,0.09670956136219588,-0.022415328752639085,0.115126343523083
67.38,-0.019446893415738346,0.09547693726575886,-0.02207585258085952,0.11339142054799052
67.39,-0.019160039788357213,0.09419805332319446,-0.021725059007424757,0.11159383225499764
67.4,-0.018863776580137027,0.09287329501101158,-0.021363128481595647,0.10973464308707223
67.41,-0.018558236655498935,0.09150311583611867,-0.02099024759697996,0.10781500824194393
67.42,-0.018243557426012608,0.0900879951488309,-0.020606608975818074,0.10583614575078097
67.43,-0.017919880803057172,0.08862841512581382,-0.020212411146828244,0.1037993237179593
67.44,-0.017587353149510137,0.08712486759145907,-0.01980785841780872,0.10170585987559984
67.45,-0.017246125230652803,0.08557785186398674,-0.019393160743363207,0.09955711859834195
67.46000000000001,-0.016896352164193006,0.08398787699401794,-0.018968533587956478,0.09735450921090369
67.47,-0.01653819336940621,0.08235545949089501,-0.01853419778445323,0.0950994857611558
67.48,-0.016171812515536774,0.08068112099724371,-0.018090379388137328,0.09279354842996126
67.49,-0.015797377469515737,0.07896539160071453,-0.01763730952630242,0.0904382385660309
67.5,-0.015415060242883923,0.0772088096500227,-0.01717522424368438,0.08803513694831408
67.51,-0.015025036937810822,0.0754119234007016,-0.0167043643440194,0.08558586055298432
67.52,-0.01462748769176837,0.07357530291768807,-0.01622497522829971,0.0830920503524313
67.53,-0.014222596619186954,0.07169957402578477,-0.01573730673146651,0.08055533643655767
67.54,-0.013810551747168652,0.06978545135089241,-0.015241612960548327,0.07797730416791979
67.55,-0.013391544944315686,0.06783369400432955,-0.014738152135337754,0.07535953528402614
67.56,-0.012965771845022374,0.06584507944148947,-0.014227186429551656,0.07270363038039183
67.57000000000001,-0.012533431771243584,0.06382040832543504,-0.013708981810640697,0.07001120607240638
67.58,-0.012094727652101832,0.06176050182754501,-0.013183807877931424,0.06728389540444416
67.59,-0.011649865941359066,0.05966620197046412,-0.012651937699277239,0.0645233432568507
67.6,-0.0111990565328075,0.05753837110267838,-0.012113647646443777,0.06173120622728734
67.61,-0.010742512673545847,0.05537789349367594,-0.0115692172293538,0.05890915166311664
67.62,-0.010280450875111837,0.053185674267571766,-0.01101892892928946,0.05605885604386157
67.63,-0.009813090822506018,0.05096263883301856,-0.010463068031209938,0.053182003096668436
67.64,-0.00934065528116249,0.048709732769076156,-0.009901922455344568,0.05028028260975075
67.65,-0.008863370001895967,0.046427921385229144,-0.00933578258820861,0.04735538887418589
67.66,-0.00838146362393115,0.04411818710417075,-0.008764941113276602,0.04440901628965654
67.67,-0.007895167576071244,0.04178153204744385,-0.008189692841607381,0.04144285791721383
67.68,-0.007404715975891701,0.0394189793748874,-0.007610334542368974,0.03845861224039642
67.69,-0.006910345526910653,0.03703157099862573,-0.00702716477308581,0.03545797895751562
67.7,-0.006412295413842111,0.03462036705778288,-0.006440483709802083,0.03244265507787854
67.71000000000001,-0.005910807196144309,0.03218644130920865,-0.005850592977513963,0.02941433256879547
67.72,-0.005406124699962314,0.02973088563204366,-0.005257795481077361,0.026374697830055076
67.73,-0.004898493908252407,0.02725481267209695,-0.004662395236826036,0.023325426562688132
67.74,-0.004388162848998708,0.024759351705265924,-0.004064697204887029,0.020268192523272992
67.75,-0.003875381481925519,0.02224564048138992,-0.003465007122031392,0.017204662199345556
67.76,-0.0033604015838531605,0.019714836142942508,-0.0028636313352807907,0.01413649050090959
67.77,-0.002843476632328329,0.01716811500754608,-0.0022608766367493123,0.011065315627966326
67.78,-0.0023248616878317582,0.014606656045572774,-0.0016570500997819702,0.007992767901687877
67.79,-0.001804813274831453,0.01203165887015185,-0.0010524589163042753,0.004920461808036862
67.8,-0.001283589261531038,0.009444330401395445,-0.00044741023569272643,0.001849992967386423
67.81,-0.0007614487385855316,0.0068458858210166135,0.00015778899447833674,-0.0012170634148758266
67.82000000000001,-0.0002386518971708355,0.004237543206600151,0.0007628321855631968,-0.004279156261921116
67.83,0.0002845400936503424,0.0016205332309372383,0.0013674132625920972,-0.007334759863525997
67.84,0.0008078652106926076,-0.0010038990426116867,0.0019712268162651383,-0.010382381691009569
67.85,0.0013310607002952248,-0.003634543608513939,0.002573968251329835,-0.013420577032276372
67.86,0.001853863198713991,-0.006270249289585746,0.0031753339318846318,-0.016447903024124463
67.87,0.0023760088519749764,-0.008909766153927905,0.003775021326950419,-0.019462874466023596
67.88,0.002897233442017069,-0.011551761295736677,0.004372729158241565,-0.022464001171599596
67.89,0.0034172725181626333,-0.014194925298654027,0.00496815754810384,-0.025449822378745525
67.9,0.0039358615283539965,-0.01683797178432924,0.005561008165337724,-0.02841890181115778
67.91,0.004452735949503869,-0.019479591387580313,0.0061509843688267295,-0.03136981625013275
67.92,0.004967631419610767,-0.02211843961317245,0.0067377913496057115,-0.03430115643451647
67.93,0.005480283872307101,-0.02475316410954715,0.0073211362714072975,-0.037211531611083905
67.94,0.005990429673535164,-0.027382378439732263,0.00790072840945784,-0.040099569265218696
67.95,0.006497805760294319,-0.03000468851555655,0.008476279287380234,-0.042963917082524644
67.96000000000001,0.007002149781003089,-0.03261868159437538,0.009047502812125853,-0.04580324269572109
67.97,0.0075032002374037544,-0.03522292946640067,0.009614115406842011,-0.048616235704682334
67.98,0.008000696627579894,-0.03781600409985808,0.010175836141588599,-0.051401607527488194
67.99,0.008494379589755267,-0.040396461362524144,0.01073238686188494,-0.05415809092142675
68.0,0.00898399104709587,-0.04296284980517986,0.01128349231504906,-0.056884442132879603
68.01,0.00946927435322631,-0.04551371635106574,0.011828880274240911,-0.05957944051842041
68.02,0.009949974438033908,-0.048047605315039384,0.012368281660189134,-0.06224188853283667
68.03,0.010425837953783766,-0.050563055593090364,0.012901430660601676,-0.06487061203334901
68.04,0.010896613421624457,-0.05305860322413572,0.01342806484723025,-0.06746446070385441
68.05,0.011362051378272283,-0.05553278581588706,0.01394792529053806,-0.07002230881036199
68.06,0.011821904522571319,-0.057984143720394586,0.014460756671926414,-0.07254305514623569
68.07000000000001,0.01227592786175729,-0.06041122067293295,0.014966307393515168,-0.07502562291310139
68.08,0.012723878857380182,-0.06281256373084619,0.01546432968547522,-0.07746895995251905
68.09,0.013165517570845931,-0.06518672401026251,0.015954579710903253,-0.07987203882295812
68.1,0.013600606808467348,-0.06753225923593761,0.016436817668217328,-0.08223385708967838
68.11,0.014028912265827687,-0.06984773542426594,0.016910807891056683,-0.08455343747184992
68.12,0.014450202671288959,-0.07213172807632191,0.01737631894566805,-0.08682982793088558
68.13,0.014864249928486381,-0.07438282418580078,0.017833123725764025,-0.08906210196927684
68.14,0.015270829257653044,-0.07659962344817399,0.018280999544841678,-0.0912493584778304
68.15,0.015669719335654596,-0.07878073871568227,0.01871972822596772,-0.09339072156192235
68.16,0.01606070243467317,-0.08092479670694964,0.01914909618904366,-0.09548534051733336
68.17,0.01644356455942841,-0.08303044006495068,0.01956889453554987,-0.09753238999060422
68.18,0.016818095582773095,-0.08509632895905321,0.01997891913075823,-0.09953107000264683
68.19,0.017184089379503588,-0.0871211422573387,0.02037897068341488,-0.1014806058992464
68.2,0.017541343958256336,-0.08910357889990421,0.020768854822893108,-0.10338024831301984
68.21000000000001,0.017889661591387065,-0.09104235825092447,0.021148382173784567,-0.10522927433212298
68.22,0.01822884894420575,-0.09293617416318985,0.021517368425886224,-0.10702705184217656
68.23,0.018558717207677888,-0.0947836350901814,0.021875634393816717,-0.10877312264102813
68.24,0.018879082236578908,-0.0965833250153254,0.02222300606339266,-0.1104671212755109
68.25,0.019189764689650914,-0.09833385597031252,0.02255931462935341,-0.11210870305526599
68.26,0.019490590167641486,-0.10003387859229092,0.022884396529979513,-0.1136975314764378
68.27,0.01978138934723517,-0.10168209610649322,0.023198093481156378,-0.11523326173261625
68.28,0.02006199811014229,-0.10327725890046285,0.023500252510676858,-0.11671554941019592
68.29,0.020332257667101065,-0.10481817229168167,0.02379072599295526,-0.11814404157256976
68.3,0.02059201467638605,-0.10630370073687401,0.024069371684554718,-0.11951837245250599
68.31,0.02084112135665325,-0.10773276160893887,0.02433605276061551,-0.12083817323168591
68.32000000000001,0.02107943559417698,-0.10910433075500621,0.024590637851977643,-0.12210306579415674
68.33,0.021306821044275698,-0.11041744416154643,0.024833001083145897,-0.12331266170079647
68.34,0.021523147226528143,-0.11167120463900718,0.025063022111513206,-0.12446655431757235
68.35000000000001,0.021728289613623542,-0.11286477520183488,0.025280586168185435,-0.1255643209699972
68.36,0.021922129715998016,-0.11399731565116245,0.025485584100995648,-0.1266055054496492
68.37,0.022104555166256146,-0.1150679587300222,0.02567791242097848,-0.12758960351394963
68.38,0.022275459804642954,-0.11607584798151349,0.025857473352317768,-0.1285160968226246
68.39,0.022434743763736536,-0.11702015166231132,0.026024174883938083,-0.12938446715303056
68.4,0.02258231355041717,-0.11790007928077689,0.0261779308209075,-0.13019421134654877
68.41,0.022718082124245777,-0.11871487437622218,0.0263186608348668,-0.13094483370535473
68.42,0.02284196897169434,-0.11946383355178197,0.026446290512993707,-0.13163586450935316
68.43,0.022953900175719005,-0.12014629723063633,0.026560751405060732,-0.1322668495077335
68.44,0.023053808480508472,-0.1207616575876634,0.02666198106857175,-0.13283735539552022
68.45,0.023141633351306444,-0.12130935527686736,0.02674992311543504,-0.133346855832803
68.46000000000001,0.023217321029891307,-0.12178886051930779,0.026824527269260566,-0.1337946156378087
68.47,0.02328082458607404,-0.12219969398039407,0.026885749438273352,-0.1341797875304177
68.48,0.023332103964380655,-0.12254143243774855,0.026933551798866653,-0.13450149253502486
68.49,0.02337112602534479,-0.12281370499049594,0.0269679028832415,-0.1347588417805483
68.5,0.023397864581022467,-0.12301620806729544,0.02698877766816515,-0.1349509463725909
68.51,0.023412300424253876,-0.12314869934464821,0.026996157662840675,-0.1350769526209915
68.52,0.023414421351349426,-0.12321100835290416,0.02699003099396881,-0.13513604152358924
68.53,0.023404222177504593,-0.1232030460042152,0.026970392486351736,-0.13512746051940985
68.54,0.023381704744436915,-0.12312479890871735,0.026937243737745618,-0.1350505149030498
68.55,0.023346877921020182,-0.12297630748384798,0.026890593186409253,-0.13490461156522723
68.56,0.023299757598115506,-0.12275766559331167,0.026830456169671293,-0.1346892488305737
68.57000000000001,0.02324036667824672,-0.12246901431356168,0.02675685497418912,-0.1344039829260318
68.58,0.023168735060362277,-0.1221105442632863,0.02666981887839059,-0.1340484721990152
68.59,0.023084899619860693,-0.12168249021689259,0.02656938418616708,-0.13362245802608536
68.60000000000001,0.022988904183747362,-0.12118514246871781,0.026455594251319804,-0.13312578315296048
68.61,0.02288079950078454,-0.12061883664069516,0.026328499491001977,-0.1325584315612646
68.62,0.022760643206386225,-0.11998397082468412,0.026188157385025716,-0.13192055433012295
68.63,0.022628499781839943,-0.11928099812433207,0.02603463245698386,-0.13121253412390538
68.64,0.022484440508578344,-0.1185104044451754,0.025867996237969645,-0.1304348397396249
68.65,0.022328543418837533,-0.11767270537091121,0.0256883272209946,-0.12958795542942517
68.66,0.02216089324336363,-0.11676844409518625,0.025495710811700115,-0.12867240557228476
68.67,0.02198158135582481,-0.1157982077761311,0.025290239275938244,-0.1276887418139726
68.68,0.021790705713652065,-0.11476261173927813,0.025072011684131236,-0.12663755083574604
68.69,0.02158837079516796,-0.11366231873213735,0.024841133852384862,-0.12551945101161954
68.7,0.02137468753280708,-0.11249802475341418,0.02459771828066308,-0.12433508269560002
68.71000000000001,0.021149773242153374,-0.11127047822738467,0.02434188408822807,-0.12308511947052572
68.72,0.020913751546438545,-0.10998047000346653,0.02407375694687965,-0.12177023883070048
68.73,0.02066675229541025,-0.10862887248570209,0.023793469013026192,-0.1203911286466682
68.74,0.020408911477594514,-0.10721661504577061,0.023501158859568137,-0.11894846360069532
68.75,0.02014037112665797,-0.10574467545942866,0.023196971407137026,-0.11744295373702328
68.76,0.01986127922327348,-0.10421406396819641,0.022881057852874438,-0.11587534053153123
68.77,0.019571789593289198,-0.10262582821041805,0.022553575595919008,-0.11424639915481395
68.78,0.019272061802156855,-0.10098105711132835,0.022214688159368425,-0.11255694491033988
68.79,0.018962261045338984,-0.09928088047468368,0.021864565108367467,-0.11080783271153552
68.8,0.01864255803412825,-0.09752648566715143,0.02150338196366245,-0.10899997530846033
68.81,0.018313128875474184,-0.09571913658495419,0.02113132010910436,-0.10713436341029356
68.82000000000001,0.017974154944965234,-0.0938601604111771,0.02074856669213809,-0.10521205321788993
68.83,0.01762582275439487,-0.09195091021638631,0.020355314518340377,-0.10323413896245172
68.84,0.01726832381636088,-0.0899927539558844,0.019951761941438165,-0.10120175855591286
68.85000000000001,0.01690185450721258,-0.0879870735290711,0.019538112749086546,-0.09911609291558302
68.86,0.016526615928593755,-0.08593526510890856,0.019114576044431293,-0.09697836280733425
68.87,0.016142813767628904,-0.08383873785656475,0.01868136612364913,-0.09478982785460968
68.88,0.015750658155946496,-0.0816989093864166,0.018238702349522747,-0.09255178842516631
68.89,0.015350363527836095,-0.07951720426841323,0.017786809021006263,-0.09026558467595033
68.9,0.014942148477707196,-0.07729505384571694,0.017325915238861542,-0.08793259421454284
68.91,0.01452623561699592,-0.0750338928562913,0.016856254767473988,-0.08555423298288317
68.92,0.014102851430612531,-0.07273516173719723,0.01637806589298495,-0.08313195085018853
68.93,0.013672226132623587,-0.07040031523602704,0.01589159127828581,-0.0806672204729126
68.94,0.013234593519747994,-0.06803085308422747,0.01539707781654874,-0.07816150357268034
68.95,0.012790190819935454,-0.06562835388109783,0.014894776486295119,-0.07561621495957298
68.96000000000001,0.012339258535121123,-0.06319443064830003,0.014384942209156482,-0.07303276415308438
68.97,0.011882040280549223,-0.060730702709286113,0.013867833708207768,-0.07041258059508668
68.98,0.011418782622827866,-0.05823879907524875,0.013343713364982811,-0.06775710779686178
68.99,0.010949734917224467,-0.055720354435737834,0.012812847074921502,-0.06506780475828919
69.0,0.010475149144344687,-0.05317700887131319,0.012275504101354667,-0.06234614398348948
69.01,0.009995279746334932,-0.0506104062153841,0.011731956928059818,-0.05959361267866473
69.02,0.009510383462717688,-0.04802219338990582,0.011182481110484359,-0.05681170892027817
69.03,0.009020719166036487,-0.04541401678674225,0.010627355125844975,-0.05400194030092218
69.04,0.008526547697526475,-0.042787521325603914,0.01006686022223975,-0.051165824123514114
69.05,0.008028131702954253,-0.04014434973640895,0.009501280266827384,-0.04830488632497142
69.06,0.007525735468729007,-0.037486140921090844,0.008930901593146185,-0.04542066055477155
69.07000000000001,0.007019624758416905,-0.03481452875399231,0.008356012847672878,-0.042514687181061064
69.08,0.00651006664972172,-0.03213114298353046,0.0077769048357076535,-0.0395885126449436
69.09,0.005997329372022402,-0.029437605632482676,0.007193870366674324,-0.03664368817816778
