height_m,period_s,omega,amp_m,settle_ratio,settled,converged_early,duration_used_s,duration_cap_s,n_steps,rao_platform_heave,rao_buoy1_heave,rao_buoy2_heave,rao_buoy3_heave,rao_buoy4_heave,rao_buoy5_heave,rao_buoy6_heave,rao_buoy7_heave,rao_buoy8_heave,rao_buoy9_heave,rao_buoy10_heave,rao_buoy11_heave,rao_buoy12_heave
0.05,2.0,3.141592653589793,0.025,0.0002960285991460642,True,True,64.0,502.0,6400,0.0018590197962072405,0.0016804402662833641,0.00857942670894226,0.008579426710803641,0.002376947246367881,0.0036058632818992825,0.0009543179407162162,0.010190259099144535,0.00495280795881441,0.00495280794045889,0.0023769472635349113,0.0009543179175517997,0.0036058632899165903
0.15,2.0,3.141592653589793,0.075,0.0003072527373111373,True,True,64.0,502.0,6400,0.0018586620969311103,0.0013177274700683706,0.008463707582835805,0.00846370758245623,0.0023780224288963217,0.003583692664917684,0.0009447117703177146,0.01020184169280438,0.0051878672646084615,0.005187867246808787,0.0023780224435962873,0.0009447117470740342,0.0035836926719649688
0.3,2.0,3.141592653589793,0.15,0.00038948905890918636,True,True,64.0,502.0,6400,0.0018638582674048777,0.0007595306018730855,0.008261667478725986,0.008261667471040492,0.0023260764344392127,0.0035890098732479048,0.0009025157606771323,0.010313996674938939,0.005521719548596446,0.005521719531076284,0.0023260764410341674,0.0009025157384468348,0.0035890098805828998
0.6,2.0,3.141592653589793,0.3,0.00039265091088741387,True,True,64.0,502.0,6400,0.0019054684613767413,0.0018116390896831197,0.007910247517633074,0.007910247483415756,0.0017593962769393964,0.0039051939581742252,0.0008432683647651459,0.01100365569675996,0.006567806392935369,0.006567806364053472,0.001759396249413032,0.0008432683518613432,0.003905193975041835
1.0,2.0,3.141592653589793,0.5,0.00033119611253943525,True,True,64.0,502.0,6400,0.0021552278918088733,0.00573964318377466,0.008430168551125898,0.008430168470405081,0.0010810824540450651,0.005300140805489928,0.001926265654838648,0.013103749464247357,0.00994039506790196,0.009940394995800716,0.0010810824356365406,0.0019262656798372285,0.005300140848989916
0.05,2.5,2.5132741228718345,0.025,0.003615513208660016,True,True,60.0,510.0,6000,0.19549754555242896,0.22763065256108844,0.22859890530656513,0.22859890530814658,0.2049951293817601,0.2148646775470746,0.1957151552302234,0.232452289832839,0.23500219120028606,0.2350021912564947,0.20499512938254494,0.1957151552744836,0.21486467758453315
0.15,2.5,2.5132741228718345,0.075,0.004110810608114676,True,True,60.0,510.0,6000,0.19532896310050332,0.2275773649244206,0.22682137278531395,0.22682137278955125,0.2053605746701507,0.21427443639243765,0.19527997279814716,0.23432197115079634,0.23518853691860783,0.23518853695577946,0.20536057466486063,0.19527997283777776,0.21427443642833358
0.3,2.5,2.5132741228718345,0.15,0.004729705748646203,True,True,60.0,510.0,6000,0.19478861208575896,0.22803423712853133,0.2232494112314548,0.22324941123894707,0.2055446982479576,0.21291019813782347,0.19427121677839837,0.23692307534657173,0.23552710249822492,0.23552710250328204,0.20554469822577037,0.19427121680905418,0.2129101981762256
0.6,2.5,2.5132741228718345,0.3,0.004369221245478835,True,True,60.0,510.0,6000,0.1923337720377864,0.22842024082687387,0.21398570350815949,0.2139857034617751,0.2024688678861684,0.2085802295474154,0.19146082266759107,0.2377696200848401,0.2348850890409603,0.2348850889891567,0.20246886784643167,0.19146082271512557,0.20858022959701147
1.0,2.5,2.5132741228718345,0.5,0.002700969673716743,True,True,60.0,510.0,6000,0.18535572217281066,0.21893724786942165,0.19884463489098003,0.19884463467468402,0.19017725038933517,0.19967527259308873,0.18565360169442297,0.23070584920980097,0.22904095805179991,0.22904095790943335,0.190177250371141,0.18565360184280313,0.1996752725723557
0.05,2.8,2.243994752564138,0.025,0.016954007205898618,True,True,67.2,503.6,6720,0.7756639479640457,0.932671664702844,0.8401398097865904,0.8401398098064669,0.8552772318193399,0.8287237564211151,0.7444530888695997,0.9042569434266691,0.8748767817375969,0.8748767818336787,0.8552772320442099,0.7444530891247723,0.8287237566453854
0.15,2.8,2.243994752564138,0.075,0.007845204067481782,True,True,67.2,503.6,6720,0.7503501092697069,0.8809952765019241,0.8007623750469107,0.8007623750570506,0.8139439569411335,0.7919060597806327,0.7273620068684618,0.888216974623493,0.8491788391274674,0.8491788391417118,0.8139439569415612,0.7273620069929411,0.7919060598536956
0.3,2.8,2.243994752564138,0.15,0.0008557846475556239,True,True,67.2,503.6,6720,0.6744390685515144,0.7772677086467554,0.7180034760723526,0.7180034760652668,0.7240730674397055,0.6982787184158638,0.6607157705622674,0.8049076939311383,0.7630916036238543,0.7630916035789552,0.7240730672744796,0.6607157705784686,0.6982787183405024
0.6,2.8,2.243994752564138,0.3,8.830631094052927e-06,True,True,67.2,503.6,6720,0.5465052029959275,0.6118661812641992,0.5834560017935505,0.5834560015847889,0.5730785218267369,0.5643436373047562,0.5457226504093992,0.6575350600322677,0.6317409849015544,0.631740984771118,0.5730785213366916,0.5457226503907799,0.564343636910551
1.0,2.8,2.243994752564138,0.5,1.002811418283745e-05,True,True,67.2,503.6,6720,0.43554655727540836,0.47204344713146573,0.4628252993196414,0.4628252988792457,0.443172249699829,0.45510328960989843,0.4441506512867223,0.5368978725563331,0.5273146468250226,0.5273146465292644,0.44317224885296674,0.4441506512588338,0.45510328863688787
0.05,3.0,2.0943951023931953,0.025,0.0018865100673614258,True,True,90.0,506.0,9000,2.1816123795725075,2.554266007140229,2.1544204796639628,2.154420479720322,2.498979206706313,2.1317277352442665,2.0558394591176326,2.68965324256775,2.328939688365587,2.3289396881849114,2.498979206489431,2.055839459197929,2.131727735318349
0.15,3.0,2.0943951023931953,0.075,0.0015074874879009428,True,True,72.0,506.0,7200,1.4851383301015413,1.6582291123666986,1.5282818523005786,1.5282818524031334,1.6022986437007456,1.4770461395365075,1.4532285872948838,1.745754392687877,1.6199285452990047,1.6199285451082353,1.6022986433039006,1.4532285871731927,1.477046139124267
0.3,3.0,2.0943951023931953,0.15,9.788776206201251e-05,True,True,72.0,506.0,7200,1.087698886750503,1.1947244842576625,1.133757587937803,1.1337575880644046,1.1500134898032046,1.0931330266936843,1.0789429096355796,1.26642557752954,1.2055789328618671,1.2055789325469959,1.1500134890107558,1.0789429093564438,1.0931330258923424
0.6,3.0,2.0943951023931953,0.3,2.7753324370713695e-06,True,True,72.0,506.0,7200,0.762738632993915,0.8240379436738761,0.8015409139807533,0.8015409140963351,0.791598301603535,0.7769260690906897,0.7677982567266529,0.8933854307787183,0.8726497712284103,0.8726497707056313,0.7915983004496902,0.767798256320038,0.7769260679622775
1.0,3.0,2.0943951023931953,0.5,4.007597397073891e-06,True,True,72.0,506.0,7200,0.5701487897538381,0.6030042711115343,0.5997176761567796,0.5997176763010557,0.5795036461352072,0.588583752171768,0.5820979469068881,0.6818257216310636,0.6823107371359396,0.682310736522962,0.5795036448238836,0.5820979462663146,0.5885837508933842
0.05,3.141,2.0003773661826125,0.025,0.0029690005686944135,True,True,75.4,507.692,7540,3.144321348580273,3.3150661123456273,3.11527885189541,3.11527885227719,3.37418424980551,3.023583148992687,3.113710136734449,3.7436217521957316,3.3831141552822688,3.3831141545362224,3.374184247099906,3.1137101345472193,3.0235831459859375
0.15,3.141,2.0003773661826125,0.075,0.00034266836596534957,True,True,75.4,507.692,7540,1.8147734760562415,1.936201288089523,1.8451256495369326,1.8451256500352695,1.9156258625086495,1.7919955577596496,1.8030474272287487,2.1087191829228367,1.987304063657222,1.987304062913141,1.9156258607396242,1.8030474261102263,1.7919955557572296
0.3,3.141,2.0003773661826125,0.15,0.0002474900227126211,True,True,75.4,507.692,7540,1.2659761001530794,1.3534887232921156,1.30642591636699,1.306425916842762,1.3224392547953376,1.2680760200881456,1.2667607486586199,1.458351139728292,1.4056074506688851,1.405607450074108,1.3224392533864173,1.2667607478805496,1.2680760187441886
0.6,3.141,2.0003773661826125,0.3,7.104586443562578e-05,True,True,75.4,507.692,7540,0.8636381905296827,0.9191126812719754,0.8999793954404899,0.899979395780291,0.8907200328890305,0.8765318458075743,0.8721472486254384,0.9968767159638378,0.9834964889222753,0.9834964885094146,0.8907200316243296,0.8721472477729879,0.876531844755321
1.0,3.141,2.0003773661826125,0.5,1.1193133602184353e-05,True,True,75.4,507.692,7540,0.6420419811968205,0.6730846803295687,0.6700350652883288,0.6700350655052888,0.6512232992044664,0.6578660367758131,0.6535697442437578,0.7507005539794257,0.7558195005572296,0.755819500230219,0.651223297962662,0.6535697432286295,0.657866035760227
0.05,3.257,1.9291327317100355,0.025,0.010624940687461887,True,True,78.16,509.084,7816,3.0140191221076,3.062652030528837,2.9846994565122964,2.984699456728422,3.1348445367716096,2.930555049398227,3.030559363542745,3.615949402827903,3.3961734649962287,3.3961734649079025,3.134844533839277,3.0305593606237378,2.9305550459752854
