height_m,period_s,omega,amp_m,settle_ratio,settled,converged_early,duration_used_s,duration_cap_s,n_steps,rao_platform_heave,rao_buoy1_heave,rao_buoy2_heave,rao_buoy3_heave,rao_buoy4_heave,rao_buoy5_heave,rao_buoy6_heave,rao_buoy7_heave,rao_buoy8_heave,rao_buoy9_heave,rao_buoy10_heave,rao_buoy11_heave,rao_buoy12_heave
0.05,2.0,3.141592653589793,0.025,0.0003105994988232038,True,True,64.0,502.0,6400,0.0018582712333971322,0.0016934441629070699,0.008562456691628265,0.008562456693479442,0.002378087339479453,0.003601096301383976,0.0009587239516172788,0.010212311878958052,0.004959659548605828,0.004959659530049144,0.002378087356586883,0.0009587239284037296,0.0036010963092632333
0.15,2.0,3.141592653589793,0.075,0.00033255302741583997,True,True,64.0,502.0,6400,0.0018558642301593862,0.0013540926683413476,0.008409112838387574,0.008409112838040009,0.00238340650176122,0.003569374820406588,0.000951281464091306,0.010251339538477159,0.0051954840270411,0.0051954840088206215,0.002383406516322523,0.0009512814408097456,0.0035693748270522047
0.3,2.0,3.141592653589793,0.15,0.0003688520327064336,True,True,64.0,502.0,6400,0.0018547565028258109,0.0008644404295732763,0.008168809673578132,0.008168809666203156,0.002352261216362138,0.0035566324625247105,0.0008900271336379278,0.010367806699427988,0.005490939518314749,0.0054909395006501665,0.0023522612232861426,0.0008900271114614384,0.0035566324690717607
0.6,2.0,3.141592653589793,0.3,0.0002454570594960679,True,True,64.0,502.0,6400,0.0018648891602912878,0.0018751389840703109,0.007764180658516922,0.007764180625613376,0.0019365927257542874,0.003786378669856632,0.0006695988427074966,0.010807992549066517,0.006174034409589721,0.006174034382975647,0.0019365927037573816,0.000669598828342186,0.0037863786849046998
1.0,2.0,3.141592653589793,0.5,2.0574629456376518e-05,True,True,64.0,502.0,6400,0.00197036783476988,0.005223112692068114,0.007581313747038406,0.0075813136677295246,0.001107497361691155,0.004763486583799738,0.001168878370331099,0.011380649160265387,0.007816496128669791,0.007816496067135128,0.001107497295505836,0.0011688783935710598,0.0047634866246950725
0.05,2.5,2.5132741228718345,0.025,0.004323143374647328,True,True,60.0,510.0,6000,0.19492627794284173,0.22909726945958048,0.22792739678380108,0.2279273967859534,0.20574408940812536,0.21342882200734442,0.19447596694412186,0.2327968395067106,0.23205419951610787,0.2320541995651619,0.2057440894170973,0.19447596699222894,0.21342882203935912
0.15,2.5,2.5132741228718345,0.075,0.003913482244963433,True,True,60.0,510.0,6000,0.19014094858217334,0.22612463047140455,0.21988595389054788,0.21988595389415602,0.20315078679397727,0.20532841112028985,0.18853588025386553,0.23111685378220523,0.22333311367376135,0.22333311368385053,0.20315078679697554,0.1885358802869422,0.20532841111643677
0.3,2.5,2.5132741228718345,0.15,0.0020450696201792366,True,True,60.0,510.0,6000,0.1768849723582072,0.20834156397081333,0.2023463780073817,0.2023463780090343,0.18880803190597376,0.18836904439955776,0.17570767817227662,0.2178142511041968,0.20606349963492437,0.20606349960185424,0.18880803187114178,0.17570767818227329,0.188369044355441
0.6,2.5,2.5132741228718345,0.3,0.0002904952463922585,True,True,60.0,510.0,6000,0.14682839644540227,0.16172847622392864,0.16518172038122175,0.1651817203428293,0.15147515583640578,0.157240306721371,0.14928200487707685,0.18778872389987336,0.1739041819622447,0.17390418190262116,0.15147515567227507,0.14928200487639168,0.15724030664664448
1.0,2.5,2.5132741228718345,0.5,0.00019856231929091828,True,True,60.0,510.0,6000,0.11432287272859587,0.1154195979855494,0.12181716978552956,0.12181716969803659,0.10724611230461634,0.12828697665133215,0.122831256165427,0.15900764629347194,0.14299411500756878,0.14299411492518224,0.10724611199878066,0.12283125617910975,0.1282869765303664
0.05,2.8,2.243994752564138,0.025,0.001842354240693945,True,True,67.2,503.6,6720,0.7010525790317775,0.8205890948731768,0.7537663516505794,0.7537663516460005,0.7575906553842136,0.727927360789881,0.6831508392582681,0.8234251112024051,0.7806687355967048,0.7806687356189654,0.7575906554396523,0.6831508393822853,0.7279273608287158
0.15,2.8,2.243994752564138,0.075,0.00015309251086215107,True,True,67.2,503.6,6720,0.5137019282655281,0.5843936998198583,0.5572105121184513,0.5572105121093902,0.5434518979211533,0.5250252401869103,0.5096338035693309,0.5964794695975125,0.5706348197588268,0.5706348197129353,0.5434518978613821,0.5096338035679325,0.5250252400615615
0.3,2.8,2.243994752564138,0.15,0.00011721294463203987,True,True,67.2,503.6,6720,0.38540408774877943,0.4294433169490069,0.4192579011958414,0.4192579011794412,0.4027504044346379,0.39439140039615117,0.38598894383867866,0.44719060929222254,0.4308977536000297,0.43089775353422993,0.4027504042564945,0.3859889437801334,0.394391400196062
0.6,2.8,2.243994752564138,0.3,4.367898962235707e-05,True,True,67.2,503.6,6720,0.2719617456294309,0.2870144708533966,0.29422125513865544,0.2942212550314417,0.27733049926424536,0.2832304183490479,0.27807272196098715,0.3252706446654104,0.3153546541332194,0.315354654045963,0.27733049880912153,0.2780727219021368,0.28323041810232713
1.0,2.8,2.243994752564138,0.5,1.6638721431452008e-05,True,True,67.2,503.6,6720,0.19749360415022393,0.19307395740328628,0.20686165894604422,0.20686165881219656,0.1889853560593575,0.2142679329744513,0.21052797608172946,0.2535957316450215,0.2478194761880706,0.24781947606821203,0.18898535536624655,0.21052797601323697,0.21426793268756655
