t_s,platform_heave_m,platform_heave_acc_mps2,buoy1_clusterA_surge_m,buoy1_clusterA_surge_acc_mps2,buoy1_clusterA_sway_m,buoy1_clusterA_sway_acc_mps2,buoy1_clusterA_heave_m,buoy1_clusterA_heave_acc_mps2,buoy4_clusterB_surge_m,buoy4_clusterB_surge_acc_mps2,buoy4_clusterB_sway_m,buoy4_clusterB_sway_acc_mps2,buoy4_clusterB_heave_m,buoy4_clusterB_heave_acc_mps2,buoy7_clusterC_surge_m,buoy7_clusterC_surge_acc_mps2,buoy7_clusterC_sway_m,buoy7_clusterC_sway_acc_mps2,buoy7_clusterC_heave_m,buoy7_clusterC_heave_acc_mps2
200.0,-5.873898430521065e-05,-4.2958427098852525e-05,-0.007887802212187975,0.08813910872075403,4.40626224593961e-11,-7.631444699973501e-11,-2.9004206292198624e-05,0.000611519987375194,-0.003818540002612124,0.04812072879140096,-1.3004296724555974e-05,0.00012886687732740384,-6.003962162387154e-05,0.0003996974385117385,0.006321996016565792,-0.05196266249453105,-1.742356340107347e-11,5.287445259413163e-11,2.4706571224846006e-05,9.652962034476131e-06
200.01,-5.875833671226555e-05,-3.846652294711584e-05,-0.007863753198045989,0.0879179687629347,4.3731687694311895e-11,-7.305888853751155e-11,-2.8208445287848517e-05,0.0005955684356575643,-0.0035590479655846184,0.04554460465699077,-1.2010281240881492e-05,0.00011914040120050457,-5.9189808349554304e-05,0.0003911043785585653,0.006578270009612568,-0.05447360177337411,-1.7148125708314187e-11,5.0164162663816645e-11,1.653359736869165e-05,9.64220598876477e-05
200.02,-5.878128948090224e-05,-3.248123467639048e-05,-0.007830917516840612,0.0876100595393594,4.33934895417999e-11,-6.97256664372989e-11,-2.7353600651336425e-05,0.0005783935522175814,-0.003295031430949794,0.042925127212437734,-1.1004463222262512e-05,0.00010929357494958332,-5.830099883268667e-05,0.0003825167823837479,0.006829070447796337,-0.056929429760480085,-1.686770751574903e-11,4.7405831662723366e-11,8.371343477409462e-06,0.0001823245367423092
200.03,-5.880717945430364e-05,-2.5033718437438883e-05,-0.007789326918333232,0.08721557141564862,4.3048363005925593e-11,-6.632571733854647e-11,-2.6441423752135445e-05,0.0005600499840726279,-0.0030267527447336334,0.040264997469174724,-9.987828439214165e-06,9.933557523565374e-05,-5.737403804995266e-05,0.0003739405818631036,0.007074152430430698,-0.0593278906793045,-1.6582581771902565e-11,4.460241800705959e-11,2.2836342519334165e-07,0.0002672549885714649
200.04,-5.883519863100084e-05,-1.6162043280632498e-05,-0.007739021797855827,0.08673502576124208,4.269664782140273e-11,-6.28622746630894e-11,-2.5473781031083657e-05,0.0005405940835127058,-0.002754478287296806,0.03756694490783564,-8.961373680058794e-06,8.927545440419945e-05,-5.640976982638264e-05,0.0003653801923754989,0.007313276816521109,-0.061666795540425715,-1.629303266562797e-11,4.175661111161382e-11,-7.886887584294928e-06,0.000351112185457246
200.05,-5.88643982324094e-05,-5.911148956077445e-06,-0.007680051150826983,0.08616894007990271,4.23386990080219e-11,-5.933903382448759e-11,-2.4452648215122406e-05,0.000520085636721061,-0.0024784782001725522,0.03483372417420522,-7.926105843399336e-06,7.912224323830049e-05,-5.5409036463204774e-05,0.0003568384287989013,0.007546210442812758,-0.06394402563996653,-1.5999340831934474e-11,3.887122937300736e-11,-1.5966062996556335e-05,0.00043379932114509
200.06,-5.889369344825916e-05,5.667453603553849e-06,-0.0076124725308644985,0.08551750968798451,4.1974859060403984e-11,-5.573927025696715e-11,-2.3380104150688297e-05,0.0004985903148353388,-0.0021990261104152522,0.03206811208390472,-6.883041018237038e-06,6.888548753680002e-05,-5.437267852155653e-05,0.000348316631998813,0.007772726334929354,-0.06615753093211175,-1.5701797198609198e-11,3.594914001667275e-11,-2.4000934434244822e-05,0.0005152243206788957
200.07,-5.8921868830388386e-05,1.8515936174700635e-05,-0.0075363520297128395,0.08478074107524385,4.1605495641825454e-11,-5.207897935812055e-11,-2.2258324121535268e-05,0.0004761789733644211,-0.0019163988527656375,0.029272904620236132,-5.8332035246572815e-06,5.8575204092591284e-05,-5.3301534755059776e-05,0.00033981474751321454,0.007992603911604267,-0.06830533034903213,-1.5400692781433785e-11,3.2993384817197094e-11,-3.19834007511268e-05,0.0005952999893265458
200.08,-5.894758431141496e-05,3.257045419679753e-05,-0.007451764252831311,0.08395928964516534,4.123096674607951e-11,-4.8368910041216815e-11,-2.1089572839260365e-05,0.00045292122853161053,-0.001630876189905228,0.02645091481668988,-4.777624929123619e-06,4.82011454909057e-05,-5.21964421785342e-05,0.0003313314127930092,0.008205629182065223,-0.07038551034156589,-1.5096329455692412e-11,3.0006846055956297e-11,-3.990549660794262e-05,0.0006739438075893025
200.09,-5.896938181637862e-05,4.7761328043601126e-05,-0.0073587922603629554,0.08305401506545391,4.085165082703476e-11,-4.461072118018099e-11,-1.987619736732452e-05,0.0004288877098789677,-0.0013427405311054754,0.02360496817440593,-3.717343067733097e-06,3.7772934290485204e-05,-5.105823626974831e-05,0.0003228639074025889,0.008411594936406084,-0.07239623241757603,-1.4789004845168723e-11,2.6992396264163944e-11,-4.775940056961906e-05,0.0007510781820103891
200.1,-5.898569244613623e-05,6.401327743921822e-05,-0.007257527483084856,0.08206584547178603,4.046792535141368e-11,-4.081051311124814e-11,-1.8620619974156097e-05,0.0004041507862062627,-0.0010522766496401557,0.02073789940587205,-2.6534010816192504e-06,2.7300174200989326e-05,-4.9887751303565746e-05,0.00031440813452090723,0.008610300928578726,-0.07433573388685034,-1.4479014652441305e-11,2.3952950504609654e-11,-5.553744271027799e-05,0.0008266306729186479
200.11,-5.899484420482427e-05,8.124591251683703e-05,-0.007148069626765518,0.08099584435142465,4.008017147394601e-11,-3.6971109698025346e-11,-1.7325330854447217e-05,0.00037878381862567354,-0.0007597713992739201,0.0178525504394014,-1.5868464538808275e-06,1.6792537179547488e-05,-4.8685820815568e-05,0.0003059588720100144,0.008801554051885518,-0.07620232573322502,-1.4166660911862752e-11,2.089166371945336e-11,-6.323211170901661e-05,0.0009005338945987991
200.12,-5.89950702296333e-05,9.937404021360015e-05,-0.007030526566802485,0.07984512972574759,3.9688767898344137e-11,-3.309680631035717e-11,-1.599288073091003e-05,0.00035286154401870454,-0.0004655134300723678,0.014951767744771544,-5.187300394451468e-07,6.259825482580594e-06,-4.745327818033047e-05,0.0002975098260455843,0.00898516850703679,-0.07799439343922379,-1.3852258203276243e-11,1.7811506046485487e-11,-7.083606143729385e-05,0.0009727255860069445
200.13,-5.898451748825509e-05,0.00011830801636922781,-0.006905014234574663,0.0786149141950263,3.9294100465195277e-11,-2.919128875258686e-11,-1.4625873337382962e-05,0.0003264599251780667,-0.00016979290372760828,0.012038401608501312,5.498949194260703e-07,-4.287940684072913e-06,-4.619095729226269e-05,0.00028905374412986276,0.009160965962888025,-0.07971039333129472,-1.3536118172534359e-11,1.471541369657257e-11,-7.834211703845686e-05,0.0010431485628544087
200.14000000000001,-5.896125590737432e-05,0.00013795410495466359,-0.006771656495868145,0.07730648095994137,3.8896567312251555e-11,-2.5258452101801e-11,-1.3226957803335659e-05,0.00029965548616959884,0.00012709879134059176,0.009115300574489699,1.61797379160194e-06,-1.4840719602401667e-05,-4.489969334248001e-05,0.00028058242516068414,0.009328775709787698,-0.081348860118962,-1.321854244740221e-11,1.1606135957575543e-11,-8.574328049800699e-05,0.001111750802098497
200.15,-5.892328789615597e-05,0.00015821482654290628,-0.006630585021551104,0.07592119086428405,3.849656610668131e-11,-2.1302089261025115e-11,-1.1798820990434058e-05,0.00027252487853483576,0.00042486932469538503,0.0061853074320898606,2.684451559836034e-06,-2.5388506221346246e-05,-4.358032368824545e-05,0.00027208669491613456,0.009488434805171893,-0.08290840897096304,-1.2899833617976699e-11,8.486906172705976e-12,-9.303273570043091e-05,0.0011784855240825356
