t_s,platform_heave_m,platform_heave_acc_mps2,buoy1_clusterA_surge_m,buoy1_clusterA_surge_acc_mps2,buoy1_clusterA_sway_m,buoy1_clusterA_sway_acc_mps2,buoy1_clusterA_heave_m,buoy1_clusterA_heave_acc_mps2,buoy4_clusterB_surge_m,buoy4_clusterB_surge_acc_mps2,buoy4_clusterB_sway_m,buoy4_clusterB_sway_acc_mps2,buoy4_clusterB_heave_m,buoy4_clusterB_heave_acc_mps2,buoy7_clusterC_surge_m,buoy7_clusterC_surge_acc_mps2,buoy7_clusterC_sway_m,buoy7_clusterC_sway_acc_mps2,buoy7_clusterC_heave_m,buoy7_clusterC_heave_acc_mps2
200.0,-0.008855660112829445,-0.045643001098519334,-0.1032530671212378,1.5705760619418103,1.569957169528454e-09,-3.783485362123469e-10,0.007909960068744589,0.056098109150032854,0.01719820268849656,0.29307553225215754,-0.0008591600507306678,0.00875533412918275,0.003258796802773673,0.03210606944349898,0.21057175632048442,-1.4400820627096234,7.892837246653081e-10,1.5934534741645944e-10,-0.009603184050525876,0.1250476219956055
200.01,-0.00908977972529804,-0.0363744184114569,-0.10176004740898091,1.5579159143919545,1.56240078897332e-09,-2.983546514295047e-10,0.007966334915300789,0.05280100288957358,0.022327654844744776,0.2444740990060655,-0.0008360908434632718,0.008495811256462175,0.003214407269472519,0.03470334790817504,0.21384401424323074,-1.4643086957531422,7.953512319821287e-10,1.0583908584279486e-10,-0.009791374952267078,0.12721489996751073
200.02,-0.009327219600056232,-0.02709275876659212,-0.10011145112938273,1.5433265701668906,1.5548177409383641e-09,-2.1762591395022922e-10,0.008027794864250155,0.04950539220583623,0.02748101872152141,0.19618301917466552,-0.000812179329559926,0.00822653092854212,0.003173555112527054,0.03698886782694672,0.2169696219740482,-1.487619118080375,8.014280956785267e-10,5.2930266924604785e-11,-0.009966880105245138,0.12894141432440626
200.03,-0.009567046554066313,-0.017829066047483313,-0.09830876031876215,1.5268315320685064,1.5472160909495751e-09,-1.3706666905538616e-10,0.008094011094121566,0.046200373807016824,0.032653470016993424,0.14822625580678475,-0.0007874526495885176,0.007948001693927327,0.0031364662868396493,0.03895371478453683,0.2199462572989937,-1.5100486615681612,8.075090649602093e-10,6.362419673608314e-13,-0.010129536026666124,0.13022656682627018
200.04,-0.009808330291000188,-0.008611749046582419,-0.09635364637836166,1.5084762140968466,1.5396038918616116e-09,-5.638520094453705e-11,0.008164654047909121,0.042866675740609386,0.03784021801457049,0.10062472817427606,-0.0007619388322891745,0.00766067161472636,0.003103334563696242,0.04059515106427481,0.22277168556560492,-1.531634543920243,8.135889437286785e-10,-5.101798177622274e-11,-0.010279223020263038,0.13107400679785616
200.05,-0.010050146225874322,0.0005328957439540982,-0.09424796625853124,1.4882963467359447,1.5319892021901449e-09,2.414425212607148e-11,0.008239391700492054,0.039486941177062404,0.0430365076457615,0.053396482945254814,-0.0007356667479308654,0.007364998615636198,0.003074321249245831,0.041913622766617274,0.22544375599414607,-1.5524142566247483,8.196626079040915e-10,-1.0200710603187442e-10,-0.01041586480365514,0.1314906423473793
200.06,-0.010291578124857788,0.009579578262204791,-0.0919937585411923,1.4663324782721332,1.524380074589905e-09,1.0455222321075485e-10,0.008317887462131647,0.03603416221092261,0.04823762128159765,0.006557322560593556,-0.0007086660620102888,0.007061458031050808,0.003049555238512636,0.04291159021659346,0.22796039796163964,-1.5724245319056371,8.257250004585134e-10,-1.5230450871169712e-10,-0.010539427771842216,0.13148699820194892
200.07,-0.010531720658047427,0.0185028016488666,-0.08959323956365364,1.4426223845371666,1.5167845412957885e-09,1.8470641043681088e-10,0.008399797371107453,0.03247254055741559,0.05343888033074253,-0.03987779666557464,-0.000680967186615698,0.006750571530146894,0.003029133286525261,0.04359327533784575,0.2303196174025493,-1.5916993669571058,8.317711450472403e-10,-2.0189918509692092e-10,-0.010649919915577996,0.13107692690858644
200.08,-0.01076968187794481,0.027278955045329137,-0.08704879955556778,1.4172048779415334,1.5092105870986387e-09,2.645448079810339e-10,0.008484766635785996,0.02876564822642999,0.058635646671959314,-0.08589652862120536,-0.0006526012296708707,0.00643284893319826,0.0030131204908000774,0.04396542335342912,0.2325194933395991,-1.6102734051949967,8.377961065544736e-10,-2.5080029877508023e-10,-0.010747389435363585,0.13027677857633987
200.09,-0.011004585553975833,0.035886092401089136,-0.08436299889317513,1.3901151712047453,1.5016661856780454e-09,3.4397234699587784e-10,0.00857242580017242,0.024871565190555087,0.06382332383926559,-0.131489841054721,-0.000623599944477383,0.006108785439176093,0.0030015509809889914,0.04403625864280793,0.23455817439373927,-1.628182680224132,8.43795046126223e-10,-2.9903030458807064e-10,-0.01083192310298832,0.12910504807430012
200.1,-0.011235573336326597,0.044303994461110864,-0.08153856447135555,1.3613897929048842,1.4941592568151393e-09,4.2289562472683705e-10,0.008662386762264787,0.020752624893476512,0.06899735793684363,-0.1766504737649445,-0.000593995680203438,0.0057788825964781455,0.0029944287905881166,0.04381611974349555,0.23643387523322945,-1.6454625619899437,8.497631841938575e-10,-3.4657980024071953e-10,-0.01090364443857967,0.12758093936791695
200.11,-0.011461806701392997,0.05251572013396664,-0.07857838580820703,1.3310741767781193,1.4866976773656165e-09,5.012223594753527e-10,0.008754239748599374,0.016398742677961133,0.0741532383769429,-0.22137193919695475,-0.0005638213326542736,0.005443637443901808,0.0029917289802611994,0.04331929330741838,0.23814487307229257,-1.6621469894030305,8.556958100894712e-10,-3.9341502412765397e-10,-0.010962711786285212,0.12572428394209934
200.12,-0.011682468639538087,0.06050624779010428,-0.07548551032324159,1.2992255048146206,1.479289241364573e-09,5.788582981951524e-10,0.008847552629519789,0.01182887441399496,0.07928649856421305,-0.2656471276623702,-0.0005331102954478625,0.005103541734619019,0.0029933991104685656,0.0425636559164223,0.2396895043470335,-1.6782668720258171,8.615882740832628e-10,-4.395319788203754e-10,-0.01100931631537956,0.12355594688856542
200.13,-0.011896765076841244,0.0682638570561726,-0.07226313783444512,1.265901851570116,1.4719416934493823e-09,6.557301182087324e-10,0.00894187240216335,0.007068251423541083,0.08439271650039981,-0.30947203635031223,-0.0005018964120754467,0.00475907479245726,0.002999361038836365,0.04156916088908725,0.24106616150811713,-1.6938550937354984,8.674360145449599e-10,-4.849541572495463e-10,-0.011043679931197037,0.12109787752293269
200.14000000000001,-0.012103926022158828,0.07577918518156612,-0.0689146147920297,1.231160918335862,1.4646626853213562e-09,7.317509537635644e-10,0.009036727591164358,0.002143171202522424,0.08946751516764959,-0.35284526238627084,-0.0004702139289163104,0.0044107140360687596,0.0030095129223052875,0.04035682650595892,0.24227328974313875,-1.70894559447947,8.732345221444591e-10,-5.296799788523404e-10,-0.011066053059922048,0.11837366407115077
