Cd_n,period_s,rao_platform_heave,overshoot,settled,duration_used_s
2.5,2.9,0.6177574735300618,False,True,69.60000000000001
2.5,3.0,0.7052671863193959,False,True,72.0
2.5,3.1,0.7780034174981285,False,True,74.4
2.5,3.141,0.8028645915178644,False,True,75.4
2.5,3.2,0.835981928777385,False,True,76.8
2.5,3.257,0.865270300539781,False,True,78.16
2.5,3.3,0.8868002391404527,False,True,79.2
1.0,2.9,0.8981915842617183,False,True,69.60000000000001
1.0,3.0,1.087698886750503,True,True,72.0
1.0,3.1,1.2260774275520978,True,True,74.4
1.0,3.141,1.2659761001530794,True,True,75.4
1.0,3.2,1.3113366853574742,True,True,76.8
1.0,3.257,1.3437462920328025,True,True,78.16
1.0,3.3,1.3631930273084385,True,True,79.2
