height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.020081474810077365,0.0039773917344012345,0.004274517402444095,0.024278700393986948,0.004814513680656882,0.00485924133214226,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.020082540481106675,0.005965616113132068,0.0066334267748020875,0.02427196646741435,0.007222956076054921,0.007336330501713254,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.020083338429665764,0.00795905590762396,0.00914224543553014,0.024264171662118448,0.00963404201324914,0.00985319552987943,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.02008387724349926,0.00996920679342929,0.011797365235766624,0.024255218620705208,0.012046393487132512,0.012415490181063566,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.020084163487035706,0.012031173642145794,0.014601397516899846,0.02424501974233217,0.01446197362666913,0.015028480801599832,True,True,48.0
0.04,2.3,2.7318196987737333,0.02,0.0389968704475912,0.005851825504737435,0.006367200061203222,0.04526187736599813,0.0068567885884732414,0.006870571175307592,True,True,55.2
0.06,2.3,2.7318196987737333,0.03,0.03898483076001866,0.008769526364712236,0.009926080285124227,0.04513844321062891,0.010229180426939505,0.010272287654643216,True,True,55.2
0.08,2.3,2.7318196987737333,0.04,0.03897564648750013,0.011694727498022445,0.013736657670800685,0.04501171177930893,0.013573886154093589,0.01366945303560532,True,True,55.2
0.1,2.3,2.7318196987737333,0.05,0.038968372260143,0.014668591542951605,0.01779448400323975,0.04488341206933875,0.01689711699243708,0.017076327759255577,True,True,55.2
0.12,2.3,2.7318196987737333,0.06,0.03896215919906903,0.017784457525985342,0.022096442645713102,0.04475497701327123,0.020203294812744167,0.02050641647700747,True,True,55.2
0.04,2.4,2.6179938779914944,0.02,0.0844265054133765,0.011831193116882233,0.012409170494733677,0.09545287148931464,0.013389223857092618,0.013417095531615953,True,True,57.6
0.06,2.4,2.6179938779914944,0.03,0.08457705678888824,0.017651478167726872,0.01897773079454639,0.09525751072353424,0.019910149361900907,0.019951368591457085,True,True,57.6
0.08,2.4,2.6179938779914944,0.04,0.08466074918793015,0.02345369714794563,0.02583503975699206,0.0950018539019278,0.02636146389664812,0.026433673013246468,True,True,57.6
0.1,2.4,2.6179938779914944,0.05,0.08469447959374891,0.029245774367230894,0.032975168221440865,0.094703668889471,0.03275494528410502,0.032885371084793294,True,True,57.6
0.12,2.4,2.6179938779914944,0.06,0.08468903559030895,0.035037199512531994,0.040393627084607094,0.09437471149072488,0.03910266860779783,0.039324064292895415,True,True,57.6
0.04,2.5,2.5132741228718345,0.02,0.15376030685646247,0.019596540124934995,0.02031928753690824,0.16966883191080354,0.021568875223469883,0.02157396318794829,True,True,60.0
0.06,2.5,2.5132741228718345,0.03,0.15342193303557602,0.029205602661537905,0.03084028192742814,0.1685785265235249,0.03208909012157613,0.032093197483325814,True,True,60.0
0.08,2.5,2.5132741228718345,0.04,0.1530470750922618,0.038768249697421577,0.04165383449470432,0.16744126352044222,0.042458778538338376,0.042467233316591815,True,True,60.0
0.1,2.5,2.5132741228718345,0.05,0.1526053353849702,0.04828571463302747,0.05279132486229945,0.16623664031138358,0.052674376105327075,0.05272138972890243,True,True,60.0
0.12,2.5,2.5132741228718345,0.06,0.15208288698204725,0.05773126827543909,0.0642164594685694,0.16496275904505683,0.06273129476245955,0.06284594211192318,True,True,60.0
0.04,2.6,2.41660973353061,0.02,0.25385539264798807,0.02975505530521079,0.030618552140508053,0.27545614500179816,0.03234165494363315,0.03237954410001771,True,True,62.4
0.06,2.6,2.41660973353061,0.03,0.2524585695688739,0.044309362932630866,0.04625184759175258,0.272092770070924,0.047782016496346565,0.047814006042441355,True,True,62.4
0.08,2.6,2.41660973353061,0.04,0.2505555275752844,0.05864089408841759,0.06212114548421833,0.26808795727678514,0.06276661506835134,0.06280949047061243,True,True,62.4
0.1,2.6,2.41660973353061,0.05,0.24820615614279454,0.07262754705940938,0.0780369048053796,0.2637740727119868,0.07727182123149329,0.0773056238369009,True,True,62.4
0.12,2.6,2.41660973353061,0.06,0.24548128964268146,0.08621665120563357,0.09392246536918304,0.25932521288071636,0.09126975899330947,0.09127503734734128,True,True,62.4
0.04,2.65,2.3710133234639947,0.02,0.3225416486856271,0.036388486059752645,0.03735163904810778,0.3469656252617459,0.03927387087888443,0.039321934081802054,True,True,63.6
0.06,2.65,2.3710133234639947,0.03,0.31912582695370995,0.0538844407496433,0.056050115567604,0.33957429747403933,0.057406577830202185,0.05746035249000874,True,True,63.6
0.08,2.65,2.3710133234639947,0.04,0.3147785396528768,0.07088835459583565,0.07470698731820509,0.3317659400216157,0.07481884006090567,0.07488854525358189,True,True,63.6
0.1,2.65,2.3710133234639947,0.05,0.3096536762343127,0.08723174249775123,0.09308619388735373,0.32389756605593767,0.09145535789010284,0.0915207482634859,True,True,63.6
0.12,2.65,2.3710133234639947,0.06,0.30399062782407676,0.10287529905363824,0.11111538089780316,0.3161391611023898,0.10730856056099994,0.10733733894498584,True,True,63.6
0.04,2.8,2.243994752564138,0.02,0.6328008243410003,0.06391094348194559,0.06529393769890954,0.6447666526621917,0.06518167731717818,0.06522107864734128,True,True,67.2
0.06,2.8,2.243994752564138,0.03,0.598129487725595,0.09068471141160843,0.09334060051738968,0.6030130827417803,0.0916729075659749,0.0917645049522392,True,True,67.2
0.08,2.8,2.243994752564138,0.04,0.5639776435604772,0.11423043679476706,0.11842877499440455,0.5669069089178974,0.11532039719524069,0.11543145463822824,True,True,67.2
0.1,2.8,2.243994752564138,0.05,0.5328472516588313,0.13529791932852359,0.14123550980100014,0.5355063059254108,0.13665000068164349,0.13678745155241073,True,True,67.2
0.12,2.8,2.243994752564138,0.06,0.5051869308278975,0.15454626297200702,0.1624129746879772,0.5080851346503745,0.15611503591116416,0.15627259046692749,True,True,67.2
0.04,3.0,2.0943951023931953,0.02,1.2270037161444018,0.108626507068089,0.10879058650140509,1.1896801687848277,0.10580533524573857,0.10585839871776613,True,True,72.0
0.06,3.0,2.0943951023931953,0.03,1.0297951472508993,0.13757117233756927,0.13811136393078172,1.0110468332490972,0.1355861997603387,0.13573225024162733,True,True,72.0
0.08,3.0,2.0943951023931953,0.04,0.9038361935929897,0.16227494483900218,0.16287332987387187,0.8935188813900178,0.16056686848270202,0.16078358427974995,True,True,72.0
0.1,3.0,2.0943951023931953,0.05,0.8146919461362709,0.1847244997686197,0.18480942410664372,0.8089955606227361,0.1825890300468267,0.18279907828176115,True,True,72.0
0.12,3.0,2.0943951023931953,0.06,0.747385736975708,0.20589225497422903,0.2070871141145775,0.7445334365674291,0.20257130664158113,0.20264362895440502,True,True,72.0
0.04,3.141,2.0003773661826125,0.02,1.5116149989522938,0.12265819941457745,0.1267696044507567,1.47590136074815,0.12014812430576036,0.12065338717113967,True,True,75.4
0.06,3.141,2.0003773661826125,0.03,1.2324536322020438,0.1525730939504777,0.1592095582248043,1.2128241078654054,0.14916869312193998,0.1501843615804511,True,True,75.4
0.08,3.141,2.0003773661826125,0.04,1.0660112902324097,0.18060910134044517,0.18712011988713514,1.0539554407715699,0.1740246628890132,0.17532012641316952,True,True,75.4
0.1,3.141,2.0003773661826125,0.05,0.9526687272286227,0.2082969807724498,0.21172441018505933,0.9449804553325769,0.19626269272622304,0.1973982351633809,True,True,75.4
0.12,3.141,2.0003773661826125,0.06,0.8691892823821834,0.23583240465078625,0.237809647971983,0.8644107893322223,0.21666210138117392,0.2170944110799706,True,True,75.4
0.04,3.257,1.9291327317100355,0.02,1.5896841923977292,0.1339662090884573,0.13825334523010446,1.5532609340379233,0.11840628462482179,0.1203109641202181,True,True,78.16
0.06,3.257,1.9291327317100355,0.03,1.313537411481764,0.17670876461220336,0.1823839831253707,1.2915669781991936,0.14896453333920612,0.14983750382781744,True,True,78.16
0.08,3.257,1.9291327317100355,0.04,1.1453208381319975,0.21516080291156042,0.23246440357295717,1.131588061333953,0.17518307885142953,0.17660838759868747,True,True,78.16
0.1,3.257,1.9291327317100355,0.05,1.0287851412363407,0.25051746749047843,0.27964945375075156,1.020434091382984,0.19850337702738965,0.2031522274976943,True,True,78.16
0.12,3.257,1.9291327317100355,0.06,0.941667651744826,0.283432038034382,0.3241639547014181,0.9371496923515203,0.21970588718788414,0.22826303836725387,True,True,78.16
0.04,3.3,1.9039955476301778,0.02,1.6081991010309649,0.13875946593099003,0.14923019865246423,1.5754888778981904,0.11715527685011742,0.11792117751056883,True,True,79.2
0.06,3.3,1.9039955476301778,0.03,1.3392834607423887,0.1826336862189728,0.2070535016293434,1.3202877651148217,0.14824759438928736,0.1520903641904946,True,True,79.2
0.08,3.3,1.9039955476301778,0.04,1.1717624661995811,0.2212725588215002,0.25898563486957454,1.1606113605345882,0.17460044227421012,0.18243345917741313,True,True,79.2
0.1,3.3,1.9039955476301778,0.05,1.054394509757513,0.25635300771653197,0.30655118171634094,1.04828322451916,0.1978705361784902,0.21031665728318352,True,True,79.2
