T_s,cd_scale,height_m,drag_scale_eff,heave_artic,heave_rigid,heave_gap_pct,pitch_artic_radpm,pitch_rigid_radpm,pitch_ratio,acc_heave_artic_per_m,acc_heave_rigid_per_m,note
3.0,1.0,0.1,1.0,0.8147,0.7499,-7.96,0.3368,0.7391,2.195,3.696,3.519,
3.0,0.4,0.1,0.4,1.2268,1.1368,-7.34,0.5063,0.9831,1.942,5.648,5.346,
3.0,0.1,0.1,0.1,1.9398,1.8886,-2.64,0.8195,1.1176,1.364,9.094,8.714,
3.0,0.0,,0.0,2.3736,2.3596,-0.59,0.7952,1.1009,1.384,,,radiation-only FD (no drag)
3.2,1.0,0.1,1.0,0.993,0.9377,-5.58,0.3567,0.8454,2.37,4.64,3.85,
3.2,0.4,0.1,0.4,1.5619,1.4721,-5.74,0.5522,1.3592,2.461,8.409,6.284,
3.2,0.1,0.1,0.1,3.0887,2.9211,-5.43,1.0664,2.5716,2.411,15.756,13.033,
3.2,0.01,0.01,0.001,9.8059,9.9097,1.06,3.582,5.6701,1.583,38.382,39.346,
3.2,0.001,0.1,0.001,4.8797,9.658,,224.1301,4.5528,,24298.567,44.242,artic run diverged (motions beyond the small-angle joint range)
3.2,0.0,,0.0,10.9115,10.8477,-0.58,3.9456,6.5163,1.652,,,radiation-only FD (no drag)
3.5,1.0,0.1,1.0,1.1168,1.0847,-2.88,0.3782,0.7197,1.903,4.277,3.595,
3.5,0.4,0.1,0.4,1.5391,1.5048,-2.23,0.5333,0.9556,1.792,5.341,5.065,
3.5,0.1,0.1,0.1,1.9087,1.9102,0.08,0.6579,1.1245,1.709,6.585,6.527,
3.5,0.0,,0.0,1.9877,1.9881,0.02,0.7025,1.1068,1.575,,,radiation-only FD (no drag)
