config,T,omega,amp_m,heave_RAO,roll_RAO,pitch_RAO,acc_heave_peak,acc_pitch_peak,settled,duration_s
artic,2.5,2.5132741228718345,0.05,0.15260533538497037,4.4835320851024367e-10,0.08858527796354627,0.052791324862299385,0.030338472273006064,True,60.0
artic,3.0,2.0943951023931953,0.05,0.8146919461362713,6.4450095958712725e-09,0.33675857709451934,0.18480942410664375,0.08082320420229934,True,72.0
artic,3.2,1.9634954084936207,0.05,0.9930315707298288,1.535170697217301e-08,0.3567178391120061,0.23198028637620408,0.0759654476847149,True,76.8
artic,3.5,1.7951958020513104,0.05,1.1168125514115377,4.761746035322755e-09,0.3781508895375156,0.21386054201724605,0.07219900622087747,True,63.0
artic,4.0,1.5707963267948966,0.05,1.1218640514506557,5.274770540456756e-10,0.2826538355451682,0.14279306538970152,0.03839922147588494,True,72.0
rigid,2.5,2.5132741228718345,0.05,0.15121924416097787,1.2724261956131635e-08,0.3104099138071372,0.050490549364722755,0.09798453991588237,True,60.0
rigid,3.0,2.0943951023931953,0.05,0.7498792312176441,4.130715273791759e-08,0.7390751768058308,0.17593343368765357,0.15986339709643335,True,72.0
rigid,3.2,1.9634954084936207,0.05,0.9376501082738742,4.300193661234205e-08,0.845363847193513,0.19250801527591846,0.16254666179825644,True,76.8
rigid,3.5,1.7951958020513104,0.05,1.0846682085789858,1.9760492535475602e-08,0.7196643025629819,0.17973883058613785,0.11906844035910037,True,63.0
rigid,4.0,1.5707963267948966,0.05,1.1136295114510215,6.9000993577842435e-09,0.3763902554466994,0.140705224499274,0.048643507637409156,True,72.0
