height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.02757800440033695,0.005471897818060979,0.005479493802542611,0.02757800440033695,0.005471897818060979,0.005479493802542611,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.027566184682452446,0.00825901681437903,0.008300535065221168,0.027566184682452446,0.00825901681437903,0.008300535065221168,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.027533818739456463,0.011171184320507711,0.011299606437631204,0.027533818739456463,0.011171184320507711,0.011299606437631204,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.02747917331013716,0.01431596955361348,0.014599627716977516,0.02747917331013716,0.01431596955361348,0.014599627716977516,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.027399815346303084,0.017809429207971697,0.01832252268414962,0.027399815346303084,0.017809429207971697,0.01832252268414962,True,True,48.0
0.04,2.2,2.855993321445266,0.02,0.03695146516088774,0.006556181675995353,0.006659634215927492,0.03695146516088774,0.006556181675995353,0.006659634215927492,True,True,52.800000000000004
0.06,2.2,2.855993321445266,0.03,0.03688416521667097,0.011195175666567178,0.011317432673197488,0.03688416521667097,0.011195175666567178,0.011317432673197488,True,True,52.800000000000004
0.08,2.2,2.855993321445266,0.04,0.03665243843928892,0.017505095313345348,0.017561539400948872,0.03665243843928892,0.017505095313345348,0.017561539400948872,True,True,52.800000000000004
0.1,2.2,2.855993321445266,0.05,0.03622248761732712,0.025843959996605652,0.025966168885954696,0.03622248761732712,0.025843959996605652,0.025966168885954696,True,True,52.800000000000004
0.12,2.2,2.855993321445266,0.06,0.03556738119974759,0.03644283302408122,0.03687417756240276,0.03556738119974759,0.03644283302408122,0.03687417756240276,True,True,52.800000000000004
0.04,2.3,2.7318196987737333,0.02,0.09792274898951603,0.018303659993684645,0.02015406944518138,0.09792274898951603,0.018303659993684645,0.02015406944518138,True,True,55.2
0.06,2.3,2.7318196987737333,0.03,0.09706321354062207,0.032020911054603654,0.03491636464376169,0.09706321354062207,0.032020911054603654,0.03491636464376169,True,True,55.2
0.08,2.3,2.7318196987737333,0.04,0.09459179966736198,0.04869987861431574,0.05224196642961481,0.09459179966736198,0.04869987861431574,0.05224196642961481,True,True,55.2
0.1,2.3,2.7318196987737333,0.05,0.09092089806742244,0.06812532911452518,0.0718857784515398,0.09092089806742244,0.06812532911452518,0.0718857784515398,True,True,55.2
0.12,2.3,2.7318196987737333,0.06,0.08645939018225507,0.09020943347652355,0.09384066550670779,0.08645939018225507,0.09020943347652355,0.09384066550670779,True,True,55.2
0.04,2.4,2.6179938779914944,0.02,0.17956471524753098,0.02840278110493411,0.03294608491816784,0.17956471524753098,0.02840278110493411,0.03294608491816784,True,True,57.6
0.06,2.4,2.6179938779914944,0.03,0.17723531055462283,0.046062696387287966,0.056609177287219335,0.17723531055462283,0.046062696387287966,0.056609177287219335,True,True,57.6
0.08,2.4,2.6179938779914944,0.04,0.17147424406518777,0.06561224154521302,0.08268723657882296,0.17147424406518777,0.06561224154521302,0.08268723657882296,True,True,57.6
0.1,2.4,2.6179938779914944,0.05,0.16314843737779672,0.09060021724493339,0.11055440467829673,0.16314843737779672,0.09060021724493339,0.11055440467829673,True,True,57.6
0.12,2.4,2.6179938779914944,0.06,0.15336645199084578,0.11896495162315157,0.1401149677806322,0.15336645199084578,0.11896495162315157,0.1401149677806322,True,True,57.6
0.04,2.5,2.5132741228718345,0.02,0.28217726760651474,0.036794855200405305,0.03999126715676975,0.28217726760651474,0.036794855200405305,0.03999126715676975,True,True,60.0
0.06,2.5,2.5132741228718345,0.03,0.2661990082688635,0.05317853975267329,0.05924905551863257,0.2661990082688635,0.05317853975267329,0.05924905551863257,True,True,60.0
0.08,2.5,2.5132741228718345,0.04,0.2581754914200996,0.07078501783505978,0.07735812465792398,0.2581754914200996,0.07078501783505978,0.07735812465792398,True,True,60.0
0.1,2.5,2.5132741228718345,0.05,0.25176088433852967,0.09244876762346552,0.0941406969592447,0.25176088433852967,0.09244876762346552,0.0941406969592447,True,True,60.0
0.12,2.5,2.5132741228718345,0.06,0.24310086884733864,0.11615099175653992,0.12224117526437353,0.24310086884733864,0.11615099175653992,0.12224117526437353,True,True,60.0
0.04,2.8,2.243994752564138,0.02,1.1135322974535315,0.11302532910521534,0.11313799424630976,1.1135322974535315,0.11302532910521534,0.11313799424630976,True,True,67.2
0.06,2.8,2.243994752564138,0.03,0.9468287915053856,0.14494201081687758,0.14530963101020847,0.9468287915053856,0.14494201081687758,0.14530963101020847,True,True,67.2
0.08,2.8,2.243994752564138,0.04,0.8352025995950507,0.17136707697670275,0.17220330706142245,0.8352025995950507,0.17136707697670275,0.17220330706142245,True,True,67.2
0.1,2.8,2.243994752564138,0.05,0.7540371631919793,0.1943457408222568,0.19588539078734482,0.7540371631919793,0.1943457408222568,0.19588539078734482,True,True,67.2
0.12,2.8,2.243994752564138,0.06,0.6915495147684219,0.21481847981326185,0.2173128104140596,0.6915495147684219,0.21481847981326185,0.2173128104140596,True,True,67.2
0.04,3.0,2.0943951023931953,0.02,1.5436538104592883,0.13745030403405073,0.13745071088105734,1.5436538104592883,0.13745030403405073,0.13745071088105734,True,True,72.0
0.06,3.0,2.0943951023931953,0.03,1.259413485341287,0.16939466384166535,0.16939483307795686,1.259413485341287,0.16939466384166535,0.16939483307795686,True,True,72.0
0.08,3.0,2.0943951023931953,0.04,1.089656796642395,0.19668728604296476,0.19668900153934457,1.089656796642395,0.19668728604296476,0.19668900153934457,True,True,72.0
0.1,3.0,2.0943951023931953,0.05,0.9736050358693005,0.22101638543266766,0.22103012237474942,0.9736050358693005,0.22101638543266766,0.22103012237474942,True,True,72.0
