height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.7895872594391532,0.15743616410595596,0.15746801002161462,0.7895872594391532,0.15743616410595596,0.15746801002161462,True,True,48.0
0.06,2.0,3.141592653589793,0.03,0.7869288044080034,0.23427262484964806,0.23440544374452335,0.7869288044080034,0.23427262484964806,0.23440544374452335,True,True,48.0
0.08,2.0,3.141592653589793,0.04,0.7812764746815883,0.3094303496739802,0.30949178143282846,0.7812764746815883,0.3094303496739802,0.30949178143282846,True,True,48.0
0.1,2.0,3.141592653589793,0.05,0.7736523522412061,0.382541955579746,0.3828563536453034,0.7736523522412061,0.382541955579746,0.3828563536453034,True,True,48.0
0.12,2.0,3.141592653589793,0.06,0.7646574798734563,0.45351172656852046,0.4542196424186152,0.7646574798734563,0.45351172656852046,0.4542196424186152,True,True,48.0
0.04,2.2,2.855993321445266,0.02,2.509758098120475,0.4102140576800074,0.411548474631843,2.509758098120475,0.4102140576800074,0.411548474631843,True,True,66.0
0.06,2.2,2.855993321445266,0.03,2.1831119934400447,0.5365118816844701,0.5401102335390391,2.1831119934400447,0.5365118816844701,0.5401102335390391,True,True,52.800000000000004
0.08,2.2,2.855993321445266,0.04,1.9491907694539952,0.6396284287899098,0.6485830522260382,1.9491907694539952,0.6396284287899098,0.6485830522260382,True,True,52.800000000000004
0.1,2.2,2.855993321445266,0.05,1.7736497571205274,0.7285087252728661,0.7452939660462949,1.7736497571205274,0.7285087252728661,0.7452939660462949,True,True,52.800000000000004
0.12,2.2,2.855993321445266,0.06,1.635324089478931,0.8066869474381743,0.8339571709386597,1.635324089478931,0.8066869474381743,0.8339571709386597,True,True,52.800000000000004
0.04,2.3,2.7318196987737333,0.02,3.304918922913333,0.4956172418998169,0.5049468981170332,3.304918922913333,0.4956172418998169,0.5049468981170332,True,True,55.2
