height_m,period_s,omega,amp_m,rao_center,acc_center_amp,acc_center_peak,rao_buoy,acc_buoy_amp,acc_buoy_peak,settled,converged_early,duration_used_s
0.04,2.0,3.141592653589793,0.02,0.7800442845364552,0.16685548020792507,0.16736704350818893,0.7800442845364552,0.16685548020792507,0.16736704350818893,True,True,60.0
0.06,2.0,3.141592653589793,0.03,0.7801204620857979,0.25021530621145527,0.2509759146869027,0.7801204620857979,0.25021530621145527,0.2509759146869027,True,True,60.0
0.08,2.0,3.141592653589793,0.04,0.7802611561436698,0.33345634643971833,0.3344522367805013,0.7802611561436698,0.33345634643971833,0.3344522367805013,True,True,60.0
0.1,2.0,3.141592653589793,0.05,0.7804782884963298,0.4165052274911106,0.4177126731432258,0.7804782884963298,0.4165052274911106,0.4177126731432258,True,True,60.0
0.12,2.0,3.141592653589793,0.06,0.7807779744138006,0.499278867634273,0.5006632427804427,0.7807779744138006,0.499278867634273,0.5006632427804427,True,True,60.0
0.04,2.5,2.5132741228718345,0.02,nan,nan,nan,nan,nan,nan,False,False,400.0
0.06,2.5,2.5132741228718345,0.03,0.871968899491248,130.61475009170786,143.26496302587424,0.871968899491248,130.61475009170786,143.26496302587424,False,False,400.0
0.08,2.5,2.5132741228718345,0.04,nan,nan,nan,nan,nan,nan,False,False,400.0
0.1,2.5,2.5132741228718345,0.05,nan,nan,nan,nan,nan,nan,False,False,400.0
0.12,2.5,2.5132741228718345,0.06,nan,nan,nan,nan,nan,nan,False,False,400.0
0.04,2.8,2.243994752564138,0.02,1.5579452602814465,0.1594542877145606,0.15957094837106856,1.5579452602814465,0.1594542877145606,0.15957094837106856,True,True,67.2
0.06,2.8,2.243994752564138,0.03,1.5579510531152136,0.2392160087485731,0.23923135057361591,1.5579510531152136,0.2392160087485731,0.23923135057361591,True,True,67.2
0.08,2.8,2.243994752564138,0.04,1.5579535561298545,0.3190120108703896,0.31934848456858206,1.5579535561298545,0.3190120108703896,0.31934848456858206,True,True,67.2
0.1,2.8,2.243994752564138,0.05,1.5579557700956383,0.39882919076264267,0.3999199197014118,1.5579557700956383,0.39882919076264267,0.3999199197014118,True,True,67.2
0.12,2.8,2.243994752564138,0.06,1.5579696743770317,0.478724294495282,0.48112109069211817,1.5579696743770317,0.478724294495282,0.48112109069211817,True,True,67.2
0.04,3.0,2.0943951023931953,0.02,1.344232161505843,0.1276530783615048,0.1283000292220841,1.344232161505843,0.1276530783615048,0.1283000292220841,True,True,72.0
0.06,3.0,2.0943951023931953,0.03,1.3442168856589614,0.19145764438490054,0.19236406535306844,1.3442168856589614,0.19145764438490054,0.19236406535306844,True,True,72.0
0.08,3.0,2.0943951023931953,0.04,1.3441846112450484,0.2552187537417135,0.25629852731567104,1.3441846112450484,0.2552187537417135,0.25629852731567104,True,True,72.0
0.1,3.0,2.0943951023931953,0.05,1.3441286036024342,0.31889829425587973,0.3200233140326269,1.3441286036024342,0.31889829425587973,0.3200233140326269,True,True,72.0
0.12,3.0,2.0943951023931953,0.06,1.3440426964560193,0.3824389328006682,0.38342531337005276,1.3440426964560193,0.3824389328006682,0.38342531337005276,True,True,72.0
0.04,3.141,2.0003773661826125,0.02,1.2519184059171584,0.10413749706688058,0.10451947681779798,1.2519184059171584,0.10413749706688058,0.10451947681779798,True,True,75.4
0.06,3.141,2.0003773661826125,0.03,1.2519191196422803,0.15619661322315104,0.15679532962165868,1.2519191196422803,0.15619661322315104,0.15679532962165868,True,True,75.4
0.08,3.141,2.0003773661826125,0.04,1.2519207566306976,0.20823693968968743,0.20909060428758175,1.2519207566306976,0.20823693968968743,0.20909060428758175,True,True,75.4
0.1,3.141,2.0003773661826125,0.05,1.2519237172905056,0.26024393750411545,0.2614100153451028,1.2519237172905056,0.26024393750411545,0.2614100153451028,True,True,75.4
0.12,3.141,2.0003773661826125,0.06,1.2519286108948566,0.3122123980727987,0.31378029609045976,1.2519286108948566,0.3122123980727987,0.31378029609045976,True,True,75.4
0.04,3.257,1.9291327317100355,0.02,1.205623319407819,0.09035221975766243,0.09038096176794203,1.205623319407819,0.09035221975766243,0.09038096176794203,True,True,78.16
0.06,3.257,1.9291327317100355,0.03,1.2056235252721206,0.13553043301758216,0.13558670203291603,1.2056235252721206,0.13553043301758216,0.13558670203291603,True,True,78.16
0.08,3.257,1.9291327317100355,0.04,1.2056229197776527,0.18071034209249837,0.18081463531818076,1.2056229197776527,0.18071034209249837,0.18081463531818076,True,True,78.16
0.1,3.257,1.9291327317100355,0.05,1.2056208564141346,0.22590078100851035,0.22607552739836767,1.2056208564141346,0.22590078100851035,0.22607552739836767,True,True,78.16
0.12,3.257,1.9291327317100355,0.06,1.205616709812506,0.2711054553638893,0.2713969880950091,1.205616709812506,0.2711054553638893,0.2713969880950091,True,True,78.16
0.04,3.3,1.9039955476301778,0.02,1.1898582860896165,0.08818342742790734,0.08822270974730846,1.1898582860896165,0.08818342742790734,0.08822270974730846,True,True,79.2
