t,surge,sway,heave,roll,pitch,yaw,heave_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-9.834762720688512232e-22,-1.005357004913981727e-21,9.997780076683578099e-02,-2.126172244405271709e-22,-5.866023687881648849e-22,1.041527984768151170e-16,-4.439847873993263416e-03
2.000000000000000042e-02,-3.932365953647162348e-21,-4.020364568780610910e-21,9.991121664021124227e-02,-8.503291471201570692e-22,-2.344925166459918350e-21,4.165476669839377075e-16,-8.876983244428315878e-03
2.999999999999999889e-02,-8.841679935764041048e-21,-9.041226887739620249e-21,9.980029562947946575e-02,-1.912301086479332331e-21,-5.270281119965381631e-21,9.369598296710682493e-16,-1.330723147294822495e-02
4.000000000000000083e-02,-1.570250346583592966e-20,-1.606054710674888972e-20,9.964513111702090475e-02,-3.396346892689113438e-21,-9.354501921227186431e-21,1.664951955046147189e-15,-1.772569038937122157e-02
5.000000000000000278e-02,-2.450192011695170924e-20,-2.506708327992032130e-20,9.944586538680591503e-02,-5.298687350949232899e-21,-1.458592138980500390e-20,2.599857597628154443e-15,-2.212748174599013171e-02
5.999999999999999778e-02,-3.522310660449667142e-20,-3.604581185980770298e-20,9.920268929759490373e-02,-7.613942341974553282e-21,-2.094946314567395930e-20,3.740782733665021257e-15,-2.650776886914569044e-02
7.000000000000000666e-02,-4.784548280979330494e-20,-4.897802738041003183e-20,9.891584180190754472e-02,-1.033511569848916975e-20,-2.842677719245217324e-20,5.086608016280845445e-15,-3.086176961849492612e-02
8.000000000000000167e-02,-6.234487646284496203e-20,-6.384145790879455134e-20,9.858560932157617307e-02,-1.345358880442913226e-20,-3.699638979368937111e-20,6.635991706528010624e-15,-3.518477228231844250e-02
8.999999999999999667e-02,-7.869372575743904457e-20,-8.061040764446565506e-20,9.821232497762977243e-02,-1.695911334996279456e-20,-4.663388677271537759e-20,8.387373285663881526e-15,-3.947214869167071927e-02
