t,surge,sway,heave,roll,pitch,yaw,heave_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-9.834762720688512232e-22,-1.005357004913981727e-21,9.997780076683578099e-02,-2.126172244405271709e-22,-5.866023687881648849e-22,1.041527984768151170e-16,-4.439847873993263416e-03
2.000000000000000042e-02,-3.932530278798622928e-21,-4.020660261392848517e-21,9.991121293097940392e-02,-8.505508647650919928e-22,-2.345023180137255974e-21,4.165650696966152215e-16,-8.877723236180554839e-03
2.999999999999999889e-02,-8.842989397952912704e-21,-9.043583494006336940e-21,9.980026606749685392e-02,-1.914067952733606985e-21,-5.271062076976275021e-21,9.370985265242621383e-16,-1.331165615251230470e-02
4.000000000000000083e-02,-1.570789164369456010e-20,-1.607024570293497096e-20,9.964500945093136830e-02,-3.403617248400552831e-21,-9.357714891814971928e-21,1.665522779691866775e-15,-1.773967656141665905e-02
5.000000000000000278e-02,-2.451756456801443337e-20,-2.509524860357251281e-20,9.944551203681410712e-02,-5.319795904739418879e-21,-1.459524817435681682e-20,2.601515421571904113e-15,-2.215981839763674077e-02
5.999999999999999778e-02,-3.525970340587158874e-20,-3.611171379013042127e-20,9.920186242851737612e-02,-7.663316711542730541e-21,-2.097127518330121029e-20,3.744662184678706412e-15,-2.657011810464413384e-02
7.000000000000000666e-02,-4.791949639770442140e-20,-4.911134235059437177e-20,9.891416883966430706e-02,-1.043495524148714608e-20,-2.847087532762731351e-20,5.094457117046876404e-15,-3.096861722566491767e-02
8.000000000000000167e-02,-6.247975763715467526e-20,-6.408447804288154793e-20,9.858255904469423458e-02,-1.363549416018689570e-20,-3.707672200296885591e-20,6.650302816423386987e-15,-3.535336202534089534e-02
8.999999999999999667e-02,-7.892109049092972148e-20,-8.102018491682597073e-20,9.820718032300054801e-02,-1.726565483336813822e-20,-4.676923885540909185e-20,8.411510692603059509e-15,-3.972240526715414832e-02
